+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | bybit    |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 687.707  |
| Starting balance            | 1500.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.358%   |
| Final balance               | 1918.12  |
| Final equity                | 1839.21  |
| Net PNL + fees              | 418.121  |
| Total gain                  | 29.63%   |
| Average daily gain          | 0.0305%  |
| DG mean std ratio           | 0.07179  |
| Price action distance mean  | 0.323068 |
| Price action distance std   | 0.347347 |
| Price action distance max   | 2.13957  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9311   |
| Equity/balance ratio std    | 0.01579  |
| No. fills                   | 23365    |
| No. entries                 | 15169    |
| No. closes                  | 8196     |
| No. initial entries         | 4495     |
| No. reentries               | 10657    |
| No. unstuck entries         | 17       |
| No. unstuck closes          | 55       |
| No. normal closes           | 8141     |
| Average n fills per day     | 34.0     |
| Mean hours stuck            | 0.955812 |
| Max hours stuck             | 1460.63  |
| PNL sum                     | 444.5    |
| Profit sum                  | 600.9    |
| Loss sum                    | -156.4   |
| Fee sum                     | -26.35   |
| Biggest pos size            | 85.3     |
| Biggest pos cost            | 223.1    |
| Volume quote                | 263482.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.123%   |
| Final balance               | 1632.17  |
| Final equity                | 1632.16  |
| Net PNL + fees              | 132.165  |
| Total gain                  | 9.19%    |
| Average daily gain          | 0.0142%  |
| DG mean std ratio           | 0.02306  |
| Price action distance mean  | 0.141536 |
| Price action distance std   | 0.194777 |
| Price action distance max   | 0.660931 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.8159   |
| Equity/balance ratio std    | 0.04166  |
| No. fills                   | 11586    |
| No. entries                 | 6166     |
| No. closes                  | 5420     |
| No. initial entries         | 5286     |
| No. reentries               | 876      |
| No. unstuck entries         | 4        |
| No. unstuck closes          | 15       |
| No. normal closes           | 5405     |
| Average n fills per day     | 16.8     |
| Mean hours stuck            | 1.43759  |
| Max hours stuck             | 3474.97  |
| PNL sum                     | 137.8    |
| Profit sum                  | 142.3    |
| Loss sum                    | -4.492   |
| Fee sum                     | -5.68    |
| Biggest pos size            | 78.6     |
| Biggest pos cost            | 156.2    |
| Volume quote                | 56802.4  |
+-----------------------------+----------+
