+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | HNTUSDT   |
| No. days                    | 662.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.543%    |
| Final balance               | 54223.6   |
| Final equity                | 54162.6   |
| Net PNL + fees              | 52723.6   |
| Total gain                  | 3559.0%   |
| Average daily gain          | 0.57%     |
| DG mean std ratio           | 0.2409    |
| Price action distance mean  | 0.0170964 |
| Price action distance std   | 0.0288828 |
| Price action distance max   | 0.459361  |
| Closest bankruptcy          | 99.34%    |
| Lowest equity/balance ratio | 0.6852    |
| Equity/balance ratio std    | 0.02387   |
| No. fills                   | 9427      |
| No. entries                 | 6531      |
| No. closes                  | 2896      |
| No. initial entries         | 2324      |
| No. reentries               | 4207      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2896      |
| Average n fills per day     | 14.2      |
| Mean hours stuck            | 1.71575   |
| Max hours stuck             | 184.767   |
| PNL sum                     | 53380.0   |
| Profit sum                  | 53380.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -656.1    |
| Biggest pos size            | 5505.67   |
| Biggest pos cost            | 51840.0   |
| Volume quote                | 6561230.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.201%    |
| Final balance               | 1714.15   |
| Final equity                | 1714.16   |
| Net PNL + fees              | 214.15    |
| Total gain                  | 14.36%    |
| Average daily gain          | 0.0203%   |
| DG mean std ratio           | 0.1067    |
| Price action distance mean  | 0.0318941 |
| Price action distance std   | 0.0320468 |
| Price action distance max   | 0.296548  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9578    |
| Equity/balance ratio std    | 0.003286  |
| No. fills                   | 1701      |
| No. entries                 | 1005      |
| No. closes                  | 696       |
| No. initial entries         | 556       |
| No. reentries               | 449       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 696       |
| Average n fills per day     | 2.57      |
| Mean hours stuck            | 9.55827   |
| Max hours stuck             | 271.783   |
| PNL sum                     | 215.4     |
| Profit sum                  | 215.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.204    |
| Biggest pos size            | 149.08    |
| Biggest pos cost            | 167.6     |
| Volume quote                | 12036.0   |
+-----------------------------+-----------+
