+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 677.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.245%    |
| Final balance               | 7885.16   |
| Final equity                | 7885.0    |
| Net PNL + fees              | 6385.16   |
| Total gain                  | 444.4%    |
| Average daily gain          | 0.254%    |
| DG mean std ratio           | 0.184     |
| Price action distance mean  | 0.0133734 |
| Price action distance std   | 0.0167893 |
| Price action distance max   | 0.378645  |
| Closest bankruptcy          | 99.53%    |
| Lowest equity/balance ratio | 0.7253    |
| Equity/balance ratio std    | 0.0128    |
| No. fills                   | 39457     |
| No. entries                 | 22352     |
| No. closes                  | 17105     |
| No. initial entries         | 16455     |
| No. reentries               | 5897      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 17105     |
| Average n fills per day     | 58.2      |
| Mean hours stuck            | 0.4192    |
| Max hours stuck             | 136.267   |
| PNL sum                     | 6667.0    |
| Profit sum                  | 6667.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -281.5    |
| Biggest pos size            | 1270.2    |
| Biggest pos cost            | 7649.0    |
| Volume quote                | 2814990.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.147%    |
| Final balance               | 1657.46   |
| Final equity                | 1657.33   |
| Net PNL + fees              | 157.457   |
| Total gain                  | 10.58%    |
| Average daily gain          | 0.0262%   |
| DG mean std ratio           | 0.01729   |
| Price action distance mean  | 0.299221  |
| Price action distance std   | 0.303411  |
| Price action distance max   | 0.825671  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5517    |
| Equity/balance ratio std    | 0.1148    |
| No. fills                   | 2630      |
| No. entries                 | 1759      |
| No. closes                  | 871       |
| No. initial entries         | 452       |
| No. reentries               | 1307      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 871       |
| Average n fills per day     | 3.88      |
| Mean hours stuck            | 7.10571   |
| Max hours stuck             | 6458.7    |
| PNL sum                     | 158.7     |
| Profit sum                  | 158.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.253    |
| Biggest pos size            | 78.1      |
| Biggest pos cost            | 157.9     |
| Volume quote                | 12533.5   |
+-----------------------------+-----------+
