+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 905.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.178%    |
| Final balance               | 7534.0    |
| Final equity                | 7530.17   |
| Net PNL + fees              | 6034.0    |
| Total gain                  | 407.3%    |
| Average daily gain          | 0.186%    |
| DG mean std ratio           | 0.1489    |
| Price action distance mean  | 0.0192479 |
| Price action distance std   | 0.0176974 |
| Price action distance max   | 0.220968  |
| Closest bankruptcy          | 99.96%    |
| Lowest equity/balance ratio | 0.8387    |
| Equity/balance ratio std    | 0.007835  |
| No. fills                   | 6694      |
| No. entries                 | 3851      |
| No. closes                  | 2843      |
| No. initial entries         | 2561      |
| No. reentries               | 1290      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2843      |
| Average n fills per day     | 7.39      |
| Mean hours stuck            | 3.33425   |
| Max hours stuck             | 244.5     |
| PNL sum                     | 6109.0    |
| Profit sum                  | 6109.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -74.94    |
| Biggest pos size            | 61579.0   |
| Biggest pos cost            | 6686.0    |
| Volume quote                | 749383.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.127%    |
| Final balance               | 1682.44   |
| Final equity                | 1682.47   |
| Net PNL + fees              | 182.441   |
| Total gain                  | 12.37%    |
| Average daily gain          | 0.0127%   |
| DG mean std ratio           | 0.1028    |
| Price action distance mean  | 0.0196747 |
| Price action distance std   | 0.0157961 |
| Price action distance max   | 0.206549  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9741    |
| Equity/balance ratio std    | 0.001249  |
| No. fills                   | 7906      |
| No. entries                 | 4623      |
| No. closes                  | 3283      |
| No. initial entries         | 2822      |
| No. reentries               | 1801      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3283      |
| Average n fills per day     | 8.73      |
| Mean hours stuck            | 2.90821   |
| Max hours stuck             | 162.633   |
| PNL sum                     | 185.6     |
| Profit sum                  | 185.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.11     |
| Biggest pos size            | 5068.0    |
| Biggest pos cost            | 166.9     |
| Volume quote                | 31099.9   |
+-----------------------------+-----------+
