+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | EOSUSDT   |
| No. days                    | 928.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.176%    |
| Final balance               | 7709.24   |
| Final equity                | 7707.76   |
| Net PNL + fees              | 6209.24   |
| Total gain                  | 418.5%    |
| Average daily gain          | 0.185%    |
| DG mean std ratio           | 0.1399    |
| Price action distance mean  | 0.0158748 |
| Price action distance std   | 0.0159573 |
| Price action distance max   | 0.42761   |
| Closest bankruptcy          | 99.91%    |
| Lowest equity/balance ratio | 0.7004    |
| Equity/balance ratio std    | 0.0108    |
| No. fills                   | 4693      |
| No. entries                 | 2533      |
| No. closes                  | 2160      |
| No. initial entries         | 1182      |
| No. reentries               | 1351      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2160      |
| Average n fills per day     | 5.05      |
| Mean hours stuck            | 5.47347   |
| Max hours stuck             | 350.467   |
| PNL sum                     | 6277.0    |
| Profit sum                  | 6277.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -67.65    |
| Biggest pos size            | 7496.1    |
| Biggest pos cost            | 7485.0    |
| Volume quote                | 676502.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.214%    |
| Final balance               | 1829.7    |
| Final equity                | 1829.75   |
| Net PNL + fees              | 329.703   |
| Total gain                  | 22.26%    |
| Average daily gain          | 0.0217%   |
| DG mean std ratio           | 0.09268   |
| Price action distance mean  | 0.018174  |
| Price action distance std   | 0.0162329 |
| Price action distance max   | 0.305825  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9565    |
| Equity/balance ratio std    | 0.001652  |
| No. fills                   | 7818      |
| No. entries                 | 4288      |
| No. closes                  | 3530      |
| No. initial entries         | 1888      |
| No. reentries               | 2400      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3530      |
| Average n fills per day     | 8.42      |
| Mean hours stuck            | 3.47435   |
| Max hours stuck             | 232.467   |
| PNL sum                     | 333.8     |
| Profit sum                  | 333.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.131    |
| Biggest pos size            | 175.2     |
| Biggest pos cost            | 182.7     |
| Volume quote                | 41310.7   |
+-----------------------------+-----------+
