+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 905.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.173%    |
| Final balance               | 7186.5    |
| Final equity                | 7183.6    |
| Net PNL + fees              | 5686.5    |
| Total gain                  | 386.8%    |
| Average daily gain          | 0.179%    |
| DG mean std ratio           | 0.1551    |
| Price action distance mean  | 0.0146389 |
| Price action distance std   | 0.0157502 |
| Price action distance max   | 0.231348  |
| Closest bankruptcy          | 99.91%    |
| Lowest equity/balance ratio | 0.8122    |
| Equity/balance ratio std    | 0.006464  |
| No. fills                   | 11844     |
| No. entries                 | 6864      |
| No. closes                  | 4980      |
| No. initial entries         | 4266      |
| No. reentries               | 2598      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4980      |
| Average n fills per day     | 13.1      |
| Mean hours stuck            | 1.93501   |
| Max hours stuck             | 132.4     |
| PNL sum                     | 5802.0    |
| Profit sum                  | 5802.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -115.5    |
| Biggest pos size            | 74596.0   |
| Biggest pos cost            | 6460.0    |
| Volume quote                | 1155190.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.137%    |
| Final balance               | 1698.75   |
| Final equity                | 1698.77   |
| Net PNL + fees              | 198.753   |
| Total gain                  | 13.72%    |
| Average daily gain          | 0.0138%   |
| DG mean std ratio           | 0.09149   |
| Price action distance mean  | 0.0212732 |
| Price action distance std   | 0.0206862 |
| Price action distance max   | 0.19596   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9756    |
| Equity/balance ratio std    | 0.001896  |
| No. fills                   | 25348     |
| No. entries                 | 15658     |
| No. closes                  | 9690      |
| No. initial entries         | 9484      |
| No. reentries               | 6174      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9690      |
| Average n fills per day     | 28.0      |
| Mean hours stuck            | 0.868986  |
| Max hours stuck             | 329.167   |
| PNL sum                     | 205.9     |
| Profit sum                  | 205.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.12     |
| Biggest pos size            | 5566.0    |
| Biggest pos cost            | 168.3     |
| Volume quote                | 71202.8   |
+-----------------------------+-----------+
