+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 317.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.318%    |
| Final balance               | 4116.42   |
| Final equity                | 4080.06   |
| Net PNL + fees              | 2616.42   |
| Total gain                  | 176.7%    |
| Average daily gain          | 0.322%    |
| DG mean std ratio           | 0.2803    |
| Price action distance mean  | 0.0161364 |
| Price action distance std   | 0.014875  |
| Price action distance max   | 0.231387  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.8122    |
| Equity/balance ratio std    | 0.006377  |
| No. fills                   | 3748      |
| No. entries                 | 2173      |
| No. closes                  | 1575      |
| No. initial entries         | 1107      |
| No. reentries               | 1066      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1575      |
| Average n fills per day     | 11.8      |
| Mean hours stuck            | 2.21372   |
| Max hours stuck             | 69.3333   |
| PNL sum                     | 2651.0    |
| Profit sum                  | 2651.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -34.08    |
| Biggest pos size            | 3394.9    |
| Biggest pos cost            | 3761.0    |
| Volume quote                | 340818.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.419%    |
| Final balance               | 1713.62   |
| Final equity                | 1713.62   |
| Net PNL + fees              | 213.619   |
| Total gain                  | 14.79%    |
| Average daily gain          | 0.0419%   |
| DG mean std ratio           | 0.3509    |
| Price action distance mean  | 0.0149462 |
| Price action distance std   | 0.0170384 |
| Price action distance max   | 0.150219  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9861    |
| Equity/balance ratio std    | 0.001127  |
| No. fills                   | 20894     |
| No. entries                 | 16709     |
| No. closes                  | 4185      |
| No. initial entries         | 3771      |
| No. reentries               | 12938     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4185      |
| Average n fills per day     | 65.7      |
| Mean hours stuck            | 0.454535  |
| Max hours stuck             | 184.567   |
| PNL sum                     | 221.8     |
| Profit sum                  | 221.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.23     |
| Biggest pos size            | 121.1     |
| Biggest pos cost            | 170.7     |
| Volume quote                | 82298.5   |
+-----------------------------+-----------+
