+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 545.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.294%    |
| Final balance               | 7430.84   |
| Final equity                | 7428.93   |
| Net PNL + fees              | 5930.84   |
| Total gain                  | 401.2%    |
| Average daily gain          | 0.303%    |
| DG mean std ratio           | 0.2158    |
| Price action distance mean  | 0.0243013 |
| Price action distance std   | 0.0243464 |
| Price action distance max   | 0.403337  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.7127    |
| Equity/balance ratio std    | 0.01408   |
| No. fills                   | 9211      |
| No. entries                 | 4888      |
| No. closes                  | 4323      |
| No. initial entries         | 3388      |
| No. reentries               | 1500      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4323      |
| Average n fills per day     | 16.9      |
| Mean hours stuck            | 1.54847   |
| Max hours stuck             | 100.967   |
| PNL sum                     | 6019.0    |
| Profit sum                  | 6019.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -87.73    |
| Biggest pos size            | 17359.0   |
| Biggest pos cost            | 6981.0    |
| Volume quote                | 877285.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.217%    |
| Final balance               | 1688.82   |
| Final equity                | 1688.78   |
| Net PNL + fees              | 188.817   |
| Total gain                  | 12.73%    |
| Average daily gain          | 0.0218%   |
| DG mean std ratio           | 0.1377    |
| Price action distance mean  | 0.0261693 |
| Price action distance std   | 0.0207387 |
| Price action distance max   | 0.245585  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9675    |
| Equity/balance ratio std    | 0.00143   |
| No. fills                   | 4484      |
| No. entries                 | 2385      |
| No. closes                  | 2099      |
| No. initial entries         | 1651      |
| No. reentries               | 734       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2099      |
| Average n fills per day     | 8.22      |
| Mean hours stuck            | 3.16734   |
| Max hours stuck             | 137.767   |
| PNL sum                     | 191.0     |
| Profit sum                  | 191.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.152    |
| Biggest pos size            | 1389.0    |
| Biggest pos cost            | 168.1     |
| Volume quote                | 21515.8   |
+-----------------------------+-----------+
