+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 317.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.255%    |
| Final balance               | 3373.35   |
| Final equity                | 3371.09   |
| Net PNL + fees              | 1873.35   |
| Total gain                  | 129.8%    |
| Average daily gain          | 0.262%    |
| DG mean std ratio           | 0.2204    |
| Price action distance mean  | 0.0119268 |
| Price action distance std   | 0.0163773 |
| Price action distance max   | 0.287623  |
| Closest bankruptcy          | 99.87%    |
| Lowest equity/balance ratio | 0.7766    |
| Equity/balance ratio std    | 0.01133   |
| No. fills                   | 12412     |
| No. entries                 | 7386      |
| No. closes                  | 5026      |
| No. initial entries         | 4926      |
| No. reentries               | 2460      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5026      |
| Average n fills per day     | 39.0      |
| Mean hours stuck            | 0.620806  |
| Max hours stuck             | 140.217   |
| PNL sum                     | 1948.0    |
| Profit sum                  | 1948.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -74.28    |
| Biggest pos size            | 2591.7    |
| Biggest pos cost            | 3091.0    |
| Volume quote                | 742841.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.287%    |
| Final balance               | 1643.17   |
| Final equity                | 1643.2    |
| Net PNL + fees              | 143.172   |
| Total gain                  | 9.893%    |
| Average daily gain          | 0.0287%   |
| DG mean std ratio           | 0.2846    |
| Price action distance mean  | 0.0156721 |
| Price action distance std   | 0.0150351 |
| Price action distance max   | 0.121404  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9861    |
| Equity/balance ratio std    | 0.001139  |
| No. fills                   | 17793     |
| No. entries                 | 12384     |
| No. closes                  | 5409      |
| No. initial entries         | 5227      |
| No. reentries               | 7157      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5409      |
| Average n fills per day     | 56.0      |
| Mean hours stuck            | 0.439706  |
| Max hours stuck             | 115.9     |
| PNL sum                     | 148.4     |
| Profit sum                  | 148.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.228    |
| Biggest pos size            | 132.4     |
| Biggest pos cost            | 164.2     |
| Volume quote                | 52279.2   |
+-----------------------------+-----------+
