+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | EGLDUSDT  |
| No. days                    | 685.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.181%    |
| Final balance               | 5183.74   |
| Final equity                | 5178.88   |
| Net PNL + fees              | 3683.74   |
| Total gain                  | 255.8%    |
| Average daily gain          | 0.193%    |
| DG mean std ratio           | 0.1226    |
| Price action distance mean  | 0.0125063 |
| Price action distance std   | 0.0175672 |
| Price action distance max   | 0.683089  |
| Closest bankruptcy          | 99.87%    |
| Lowest equity/balance ratio | 0.5942    |
| Equity/balance ratio std    | 0.009442  |
| No. fills                   | 25526     |
| No. entries                 | 14984     |
| No. closes                  | 10542     |
| No. initial entries         | 10052     |
| No. reentries               | 4932      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10542     |
| Average n fills per day     | 37.2      |
| Mean hours stuck            | 0.656807  |
| Max hours stuck             | 88.35     |
| PNL sum                     | 3836.0    |
| Profit sum                  | 3836.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -152.6    |
| Biggest pos size            | 111.03    |
| Biggest pos cost            | 4726.0    |
| Volume quote                | 1526210.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0605%   |
| Final balance               | 1563.54   |
| Final equity                | 1562.9    |
| Net PNL + fees              | 63.5393   |
| Total gain                  | 4.421%    |
| Average daily gain          | 0.00609%  |
| DG mean std ratio           | 0.04385   |
| Price action distance mean  | 0.0322502 |
| Price action distance std   | 0.0250457 |
| Price action distance max   | 0.2616    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9645    |
| Equity/balance ratio std    | 0.001278  |
| No. fills                   | 11793     |
| No. entries                 | 6309      |
| No. closes                  | 5484      |
| No. initial entries         | 5411      |
| No. reentries               | 888       |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 74        |
| No. normal closes           | 5410      |
| Average n fills per day     | 17.2      |
| Mean hours stuck            | 1.39537   |
| Max hours stuck             | 174.683   |
| PNL sum                     | 66.32     |
| Profit sum                  | 83.11     |
| Loss sum                    | -16.8     |
| Fee sum                     | -2.776    |
| Biggest pos size            | 12.25     |
| Biggest pos cost            | 156.5     |
| Volume quote                | 27764.2   |
+-----------------------------+-----------+
