+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 687.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.226%    |
| Final balance               | 7074.56   |
| Final equity                | 7063.6    |
| Net PNL + fees              | 5574.56   |
| Total gain                  | 375.3%    |
| Average daily gain          | 0.233%    |
| DG mean std ratio           | 0.1837    |
| Price action distance mean  | 0.0194168 |
| Price action distance std   | 0.0197386 |
| Price action distance max   | 0.653937  |
| Closest bankruptcy          | 99.78%    |
| Lowest equity/balance ratio | 0.6041    |
| Equity/balance ratio std    | 0.01052   |
| No. fills                   | 5071      |
| No. entries                 | 2749      |
| No. closes                  | 2322      |
| No. initial entries         | 1419      |
| No. reentries               | 1330      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2322      |
| Average n fills per day     | 7.37      |
| Mean hours stuck            | 3.64751   |
| Max hours stuck             | 190.917   |
| PNL sum                     | 5630.0    |
| Profit sum                  | 5630.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -55.64    |
| Biggest pos size            | 917.7     |
| Biggest pos cost            | 6760.0    |
| Volume quote                | 556413.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.145%    |
| Final balance               | 1656.77   |
| Final equity                | 1656.77   |
| Net PNL + fees              | 156.768   |
| Total gain                  | 10.56%    |
| Average daily gain          | 0.0146%   |
| DG mean std ratio           | 0.08767   |
| Price action distance mean  | 0.0204315 |
| Price action distance std   | 0.0186271 |
| Price action distance max   | 0.198232  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9755    |
| Equity/balance ratio std    | 0.001058  |
| No. fills                   | 3081      |
| No. entries                 | 1957      |
| No. closes                  | 1124      |
| No. initial entries         | 597       |
| No. reentries               | 1360      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1124      |
| Average n fills per day     | 4.48      |
| Mean hours stuck            | 6.18395   |
| Max hours stuck             | 252.317   |
| PNL sum                     | 158.4     |
| Profit sum                  | 158.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.644    |
| Biggest pos size            | 27.3      |
| Biggest pos cost            | 164.0     |
| Volume quote                | 16439.8   |
+-----------------------------+-----------+
