+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 315.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.341%    |
| Final balance               | 4393.82   |
| Final equity                | 4381.64   |
| Net PNL + fees              | 2893.82   |
| Total gain                  | 195.2%    |
| Average daily gain          | 0.353%    |
| DG mean std ratio           | 0.2154    |
| Price action distance mean  | 0.0172723 |
| Price action distance std   | 0.0175061 |
| Price action distance max   | 0.247825  |
| Closest bankruptcy          | 99.92%    |
| Lowest equity/balance ratio | 0.8014    |
| Equity/balance ratio std    | 0.01224   |
| No. fills                   | 2899      |
| No. entries                 | 1804      |
| No. closes                  | 1095      |
| No. initial entries         | 891       |
| No. reentries               | 913       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1095      |
| Average n fills per day     | 9.18      |
| Mean hours stuck            | 2.68811   |
| Max hours stuck             | 91.8333   |
| PNL sum                     | 2929.0    |
| Profit sum                  | 2929.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -34.92    |
| Biggest pos size            | 3317.7    |
| Biggest pos cost            | 4014.0    |
| Volume quote                | 349193.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 1.03%     |
| Final balance               | 2079.07   |
| Final equity                | 1870.99   |
| Net PNL + fees              | 579.066   |
| Total gain                  | 38.93%    |
| Average daily gain          | 0.0737%   |
| DG mean std ratio           | 0.08555   |
| Price action distance mean  | 0.169472  |
| Price action distance std   | 0.152708  |
| Price action distance max   | 0.561051  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8734    |
| Equity/balance ratio std    | 0.02783   |
| No. fills                   | 5356      |
| No. entries                 | 2828      |
| No. closes                  | 2528      |
| No. initial entries         | 124       |
| No. reentries               | 2704      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2528      |
| Average n fills per day     | 17.0      |
| Mean hours stuck            | 2.458     |
| Max hours stuck             | 1244.37   |
| PNL sum                     | 583.9     |
| Profit sum                  | 583.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.878    |
| Biggest pos size            | 186.7     |
| Biggest pos cost            | 209.6     |
| Volume quote                | 48781.3   |
+-----------------------------+-----------+
