+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 687.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.478%    |
| Final balance               | 2084.12   |
| Final equity                | 2082.51   |
| Net PNL + fees              | 584.121   |
| Total gain                  | 42.44%    |
| Average daily gain          | 0.0481%   |
| DG mean std ratio           | 0.1602    |
| Price action distance mean  | 0.016515  |
| Price action distance std   | 0.0267698 |
| Price action distance max   | 0.745661  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9571    |
| Equity/balance ratio std    | 0.002291  |
| No. fills                   | 59242     |
| No. entries                 | 39132     |
| No. closes                  | 20110     |
| No. initial entries         | 17277     |
| No. reentries               | 21363     |
| No. unstuck entries         | 492       |
| No. unstuck closes          | 1204      |
| No. normal closes           | 18906     |
| Average n fills per day     | 86.1      |
| Mean hours stuck            | 0.292144  |
| Max hours stuck             | 45.95     |
| PNL sum                     | 636.6     |
| Profit sum                  | 1233.0    |
| Loss sum                    | -596.0    |
| Fee sum                     | -52.53    |
| Biggest pos size            | 113.5     |
| Biggest pos cost            | 228.6     |
| Volume quote                | 525266.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.228%    |
| Final balance               | 1754.93   |
| Final equity                | 1754.93   |
| Net PNL + fees              | 254.928   |
| Total gain                  | 17.67%    |
| Average daily gain          | 0.0329%   |
| DG mean std ratio           | 0.02315   |
| Price action distance mean  | 0.282848  |
| Price action distance std   | 0.301819  |
| Price action distance max   | 0.815548  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5782    |
| Equity/balance ratio std    | 0.1061    |
| No. fills                   | 18416     |
| No. entries                 | 10340     |
| No. closes                  | 8076      |
| No. initial entries         | 7027      |
| No. reentries               | 3309      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 3         |
| No. normal closes           | 8073      |
| Average n fills per day     | 26.8      |
| Mean hours stuck            | 0.948289  |
| Max hours stuck             | 6452.07   |
| PNL sum                     | 265.1     |
| Profit sum                  | 265.2     |
| Loss sum                    | -0.1023   |
| Fee sum                     | -10.14    |
| Biggest pos size            | 107.3     |
| Biggest pos cost            | 173.1     |
| Volume quote                | 101446.0  |
+-----------------------------+-----------+
