+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 687.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.304%    |
| Final balance               | 12086.0   |
| Final equity                | 12044.7   |
| Net PNL + fees              | 10586.0   |
| Total gain                  | 733.0%    |
| Average daily gain          | 0.306%    |
| DG mean std ratio           | 0.2623    |
| Price action distance mean  | 0.0151211 |
| Price action distance std   | 0.0134888 |
| Price action distance max   | 0.881979  |
| Closest bankruptcy          | 99.83%    |
| Lowest equity/balance ratio | 0.5312    |
| Equity/balance ratio std    | 0.007162  |
| No. fills                   | 23254     |
| No. entries                 | 13652     |
| No. closes                  | 9602      |
| No. initial entries         | 9274      |
| No. reentries               | 4378      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9602      |
| Average n fills per day     | 33.8      |
| Mean hours stuck            | 0.718201  |
| Max hours stuck             | 71.3833   |
| PNL sum                     | 10990.0   |
| Profit sum                  | 10990.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -408.9    |
| Biggest pos size            | 1558.3    |
| Biggest pos cost            | 11670.0   |
| Volume quote                | 4088550.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.183%    |
| Final balance               | 1701.35   |
| Final equity                | 1701.35   |
| Net PNL + fees              | 201.353   |
| Total gain                  | 13.7%     |
| Average daily gain          | 0.0184%   |
| DG mean std ratio           | 0.1425    |
| Price action distance mean  | 0.0190402 |
| Price action distance std   | 0.0178512 |
| Price action distance max   | 0.173777  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9838    |
| Equity/balance ratio std    | 0.001331  |
| No. fills                   | 12251     |
| No. entries                 | 7977      |
| No. closes                  | 4274      |
| No. initial entries         | 3689      |
| No. reentries               | 4288      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4274      |
| Average n fills per day     | 17.8      |
| Mean hours stuck            | 1.41116   |
| Max hours stuck             | 215.283   |
| PNL sum                     | 205.6     |
| Profit sum                  | 205.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.199    |
| Biggest pos size            | 24.6      |
| Biggest pos cost            | 165.8     |
| Volume quote                | 41986.3   |
+-----------------------------+-----------+
