+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | GMTUSDT   |
| No. days                    | 117.832   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 1.02%     |
| Final balance               | 4940.91   |
| Final equity                | 4878.16   |
| Net PNL + fees              | 3440.91   |
| Total gain                  | 245.0%    |
| Average daily gain          | 1.01%     |
| DG mean std ratio           | 0.4746    |
| Price action distance mean  | 0.0142261 |
| Price action distance std   | 0.0203626 |
| Price action distance max   | 0.230717  |
| Closest bankruptcy          | 99.77%    |
| Lowest equity/balance ratio | 0.8125    |
| Equity/balance ratio std    | 0.01407   |
| No. fills                   | 27773     |
| No. entries                 | 15673     |
| No. closes                  | 12100     |
| No. initial entries         | 11017     |
| No. reentries               | 4656      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12100     |
| Average n fills per day     | 236.0     |
| Mean hours stuck            | 0.106079  |
| Max hours stuck             | 33.6833   |
| PNL sum                     | 3675.0    |
| Profit sum                  | 3675.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -233.7    |
| Biggest pos size            | 6471.0    |
| Biggest pos cost            | 4276.0    |
| Volume quote                | 2336960.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.829%    |
| Final balance               | 1678.46   |
| Final equity                | 1588.61   |
| Net PNL + fees              | 178.456   |
| Total gain                  | 12.15%    |
| Average daily gain          | 0.118%    |
| DG mean std ratio           | 0.03138   |
| Price action distance mean  | 0.380296  |
| Price action distance std   | 0.294797  |
| Price action distance max   | 0.803769  |
| Closest bankruptcy          | 90.44%    |
| Lowest equity/balance ratio | 0.5294    |
| Equity/balance ratio std    | 0.1347    |
| No. fills                   | 3850      |
| No. entries                 | 2737      |
| No. closes                  | 1113      |
| No. initial entries         | 330       |
| No. reentries               | 2407      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1113      |
| Average n fills per day     | 32.7      |
| Mean hours stuck            | 1.3986    |
| Max hours stuck             | 1079.07   |
| PNL sum                     | 182.3     |
| Profit sum                  | 182.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.81     |
| Biggest pos size            | 297.0     |
| Biggest pos cost            | 192.4     |
| Volume quote                | 38101.2   |
+-----------------------------+-----------+
