+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | HNTUSDT    |
| No. days                    | 650.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.442%     |
| Final balance               | 26412.0    |
| Final equity                | 26378.0    |
| Net PNL + fees              | 24912.0    |
| Total gain                  | 1739.0%    |
| Average daily gain          | 0.47%      |
| DG mean std ratio           | 0.2069     |
| Price action distance mean  | 0.0160155  |
| Price action distance std   | 0.0299215  |
| Price action distance max   | 0.568068   |
| Closest bankruptcy          | 99.95%     |
| Lowest equity/balance ratio | 0.6377     |
| Equity/balance ratio std    | 0.0238     |
| No. fills                   | 43688      |
| No. entries                 | 25972      |
| No. closes                  | 17716      |
| No. initial entries         | 17119      |
| No. reentries               | 8853       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 17716      |
| Average n fills per day     | 67.1       |
| Mean hours stuck            | 0.361747   |
| Max hours stuck             | 135.683    |
| PNL sum                     | 26090.0    |
| Profit sum                  | 26090.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -1178.0    |
| Biggest pos size            | 2708.95    |
| Biggest pos cost            | 24910.0    |
| Volume quote                | 11779100.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.26%      |
| Final balance               | 1775.92    |
| Final equity                | 1775.9     |
| Net PNL + fees              | 275.921    |
| Total gain                  | 18.99%     |
| Average daily gain          | 0.0262%    |
| DG mean std ratio           | 0.1083     |
| Price action distance mean  | 0.0168203  |
| Price action distance std   | 0.0190074  |
| Price action distance max   | 0.232772   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9697     |
| Equity/balance ratio std    | 0.002153   |
| No. fills                   | 32805      |
| No. entries                 | 22928      |
| No. closes                  | 9877       |
| No. initial entries         | 9819       |
| No. reentries               | 13109      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 9877       |
| Average n fills per day     | 50.4       |
| Mean hours stuck            | 0.488488   |
| Max hours stuck             | 123.717    |
| PNL sum                     | 284.9      |
| Profit sum                  | 284.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -8.953     |
| Biggest pos size            | 190.7      |
| Biggest pos cost            | 176.9      |
| Volume quote                | 89530.2    |
+-----------------------------+------------+
