+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | HNTUSDT    |
| No. days                    | 650.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.431%     |
| Final balance               | 24621.6    |
| Final equity                | 23674.4    |
| Net PNL + fees              | 23121.6    |
| Total gain                  | 1637.0%    |
| Average daily gain          | 0.447%     |
| DG mean std ratio           | 0.211      |
| Price action distance mean  | 0.0194073  |
| Price action distance std   | 0.0285487  |
| Price action distance max   | 0.492791   |
| Closest bankruptcy          | 99.87%     |
| Lowest equity/balance ratio | 0.6699     |
| Equity/balance ratio std    | 0.02059    |
| No. fills                   | 52205      |
| No. entries                 | 31131      |
| No. closes                  | 21074      |
| No. initial entries         | 20730      |
| No. reentries               | 10401      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 21074      |
| Average n fills per day     | 80.2       |
| Mean hours stuck            | 0.301154   |
| Max hours stuck             | 263.333    |
| PNL sum                     | 24560.0    |
| Profit sum                  | 24560.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -1435.0    |
| Biggest pos size            | 2695.72    |
| Biggest pos cost            | 24620.0    |
| Volume quote                | 14348100.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.22%      |
| Final balance               | 1880.16    |
| Final equity                | 1880.02    |
| Net PNL + fees              | 380.165    |
| Total gain                  | 25.49%     |
| Average daily gain          | 0.0352%    |
| DG mean std ratio           | 0.1048     |
| Price action distance mean  | 0.0337971  |
| Price action distance std   | 0.034037   |
| Price action distance max   | 0.295409   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9337     |
| Equity/balance ratio std    | 0.005373   |
| No. fills                   | 2556       |
| No. entries                 | 1471       |
| No. closes                  | 1085       |
| No. initial entries         | 597        |
| No. reentries               | 874        |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 1085       |
| Average n fills per day     | 3.93       |
| Mean hours stuck            | 6.85255    |
| Max hours stuck             | 271.833    |
| PNL sum                     | 382.4      |
| Profit sum                  | 382.4      |
| Loss sum                    | 0.0        |
| Fee sum                     | -2.256     |
| Biggest pos size            | 238.14     |
| Biggest pos cost            | 285.2      |
| Volume quote                | 22556.4    |
+-----------------------------+------------+
