+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | LINKUSDT   |
| No. days                    | 905.665    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.294%     |
| Final balance               | 21436.8    |
| Final equity                | 21425.8    |
| Net PNL + fees              | 19936.8    |
| Total gain                  | 1394.0%    |
| Average daily gain          | 0.307%     |
| DG mean std ratio           | 0.1725     |
| Price action distance mean  | 0.00797065 |
| Price action distance std   | 0.0108777  |
| Price action distance max   | 0.362681   |
| Closest bankruptcy          | 99.74%     |
| Lowest equity/balance ratio | 0.7337     |
| Equity/balance ratio std    | 0.006083   |
| No. fills                   | 48288      |
| No. entries                 | 26176      |
| No. closes                  | 22112      |
| No. initial entries         | 19439      |
| No. reentries               | 6737       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 22112      |
| Average n fills per day     | 53.3       |
| Mean hours stuck            | 0.475373   |
| Max hours stuck             | 54.8167    |
| PNL sum                     | 20910.0    |
| Profit sum                  | 20910.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -974.2     |
| Biggest pos size            | 3556.2     |
| Biggest pos cost            | 20660.0    |
| Volume quote                | 9741770.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.185%     |
| Final balance               | 2082.26    |
| Final equity                | 2082.26    |
| Net PNL + fees              | 582.261    |
| Total gain                  | 39.19%     |
| Average daily gain          | 0.0366%    |
| DG mean std ratio           | 0.1355     |
| Price action distance mean  | 0.01905    |
| Price action distance std   | 0.0211038  |
| Price action distance max   | 0.24531    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9617     |
| Equity/balance ratio std    | 0.002751   |
| No. fills                   | 5548       |
| No. entries                 | 3688       |
| No. closes                  | 1860       |
| No. initial entries         | 909        |
| No. reentries               | 2779       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 1860       |
| Average n fills per day     | 6.13       |
| Mean hours stuck            | 4.52173    |
| Max hours stuck             | 218.8      |
| PNL sum                     | 587.9      |
| Profit sum                  | 587.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -5.644     |
| Biggest pos size            | 121.2      |
| Biggest pos cost            | 396.0      |
| Volume quote                | 56442.7    |
+-----------------------------+------------+
