+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 482.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.339%    |
| Final balance               | 7678.69   |
| Final equity                | 7651.35   |
| Net PNL + fees              | 6178.69   |
| Total gain                  | 415.1%    |
| Average daily gain          | 0.354%    |
| DG mean std ratio           | 0.1832    |
| Price action distance mean  | 0.0289853 |
| Price action distance std   | 0.0294155 |
| Price action distance max   | 1.30412   |
| Closest bankruptcy          | 99.96%    |
| Lowest equity/balance ratio | 0.4339    |
| Equity/balance ratio std    | 0.01804   |
| No. fills                   | 2873      |
| No. entries                 | 1710      |
| No. closes                  | 1163      |
| No. initial entries         | 827       |
| No. reentries               | 883       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1163      |
| Average n fills per day     | 5.95      |
| Mean hours stuck            | 4.22039   |
| Max hours stuck             | 213.817   |
| PNL sum                     | 6227.0    |
| Profit sum                  | 6227.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -48.14    |
| Biggest pos size            | 8814.1    |
| Biggest pos cost            | 6439.0    |
| Volume quote                | 481425.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.514%    |
| Final balance               | 1922.73   |
| Final equity                | 1922.72   |
| Net PNL + fees              | 422.725   |
| Total gain                  | 28.68%    |
| Average daily gain          | 0.0516%   |
| DG mean std ratio           | 0.2932    |
| Price action distance mean  | 0.012854  |
| Price action distance std   | 0.0120399 |
| Price action distance max   | 0.348753  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9464    |
| Equity/balance ratio std    | 0.001136  |
| No. fills                   | 32236     |
| No. entries                 | 26863     |
| No. closes                  | 5373      |
| No. initial entries         | 3229      |
| No. reentries               | 23634     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5373      |
| Average n fills per day     | 66.8      |
| Mean hours stuck            | 0.550747  |
| Max hours stuck             | 86.45     |
| PNL sum                     | 430.2     |
| Profit sum                  | 430.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.47     |
| Biggest pos size            | 300.0     |
| Biggest pos cost            | 190.7     |
| Volume quote                | 74697.9   |
+-----------------------------+-----------+
