+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 482.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.476%    |
| Final balance               | 1887.61   |
| Final equity                | 1885.75   |
| Net PNL + fees              | 387.609   |
| Total gain                  | 26.93%    |
| Average daily gain          | 0.0455%   |
| DG mean std ratio           | 0.2431    |
| Price action distance mean  | 0.0132961 |
| Price action distance std   | 0.0197161 |
| Price action distance max   | 1.01018   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9497    |
| Equity/balance ratio std    | 0.001563  |
| No. fills                   | 41130     |
| No. entries                 | 26270     |
| No. closes                  | 14860     |
| No. initial entries         | 14051     |
| No. reentries               | 12219     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14860     |
| Average n fills per day     | 85.2      |
| Mean hours stuck            | 0.289602  |
| Max hours stuck             | 101.667   |
| PNL sum                     | 403.9     |
| Profit sum                  | 403.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -16.34    |
| Biggest pos size            | 402.5     |
| Biggest pos cost            | 188.5     |
| Volume quote                | 163397.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.451%    |
| Final balance               | 1864.37   |
| Final equity                | 1864.35   |
| Net PNL + fees              | 364.371   |
| Total gain                  | 25.32%    |
| Average daily gain          | 0.0452%   |
| DG mean std ratio           | 0.2593    |
| Price action distance mean  | 0.0107828 |
| Price action distance std   | 0.0187647 |
| Price action distance max   | 0.273722  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9624    |
| Equity/balance ratio std    | 0.002127  |
| No. fills                   | 55511     |
| No. entries                 | 40595     |
| No. closes                  | 14916     |
| No. initial entries         | 13103     |
| No. reentries               | 27492     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14916     |
| Average n fills per day     | 115.0     |
| Mean hours stuck            | 0.236307  |
| Max hours stuck             | 210.717   |
| PNL sum                     | 379.9     |
| Profit sum                  | 379.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -15.5     |
| Biggest pos size            | 322.5     |
| Biggest pos cost            | 185.8     |
| Volume quote                | 155017.0  |
+-----------------------------+-----------+
