+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 482.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.355%    |
| Final balance               | 8292.62   |
| Final equity                | 8270.4    |
| Net PNL + fees              | 6792.62   |
| Total gain                  | 480.9%    |
| Average daily gain          | 0.374%    |
| DG mean std ratio           | 0.1856    |
| Price action distance mean  | 0.0123141 |
| Price action distance std   | 0.0189225 |
| Price action distance max   | 1.0498    |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.4879    |
| Equity/balance ratio std    | 0.01462   |
| No. fills                   | 54054     |
| No. entries                 | 35054     |
| No. closes                  | 19000     |
| No. initial entries         | 18232     |
| No. reentries               | 16822     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 19000     |
| Average n fills per day     | 112.0     |
| Mean hours stuck            | 0.21987   |
| Max hours stuck             | 101.833   |
| PNL sum                     | 7213.0    |
| Profit sum                  | 7213.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -420.2    |
| Biggest pos size            | 9860.0    |
| Biggest pos cost            | 8163.0    |
| Volume quote                | 4202370.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.381%    |
| Final balance               | 1833.2    |
| Final equity                | 1833.21   |
| Net PNL + fees              | 333.195   |
| Total gain                  | 22.84%    |
| Average daily gain          | 0.0417%   |
| DG mean std ratio           | 0.2709    |
| Price action distance mean  | 0.0107783 |
| Price action distance std   | 0.0119102 |
| Price action distance max   | 0.264266  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9609    |
| Equity/balance ratio std    | 0.001282  |
| No. fills                   | 18682     |
| No. entries                 | 11033     |
| No. closes                  | 7649      |
| No. initial entries         | 7007      |
| No. reentries               | 4026      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7649      |
| Average n fills per day     | 38.7      |
| Mean hours stuck            | 0.639523  |
| Max hours stuck             | 83.5833   |
| PNL sum                     | 342.6     |
| Profit sum                  | 342.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.411    |
| Biggest pos size            | 336.9     |
| Biggest pos cost            | 198.2     |
| Volume quote                | 94108.0   |
+-----------------------------+-----------+
