+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 626.706    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.554%     |
| Final balance               | 47805.4    |
| Final equity                | 47776.9    |
| Net PNL + fees              | 46305.4    |
| Total gain                  | 3282.0%    |
| Average daily gain          | 0.658%     |
| DG mean std ratio           | 0.1053     |
| Price action distance mean  | 0.0104214  |
| Price action distance std   | 0.016199   |
| Price action distance max   | 0.499118   |
| Closest bankruptcy          | 99.92%     |
| Lowest equity/balance ratio | 0.667      |
| Equity/balance ratio std    | 0.0129     |
| No. fills                   | 85118      |
| No. entries                 | 49309      |
| No. closes                  | 35809      |
| No. initial entries         | 34316      |
| No. reentries               | 14993      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 35809      |
| Average n fills per day     | 136.0      |
| Mean hours stuck            | 0.180319   |
| Max hours stuck             | 90.2       |
| PNL sum                     | 49230.0    |
| Profit sum                  | 49230.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -2926.0    |
| Biggest pos size            | 118694.0   |
| Biggest pos cost            | 46560.0    |
| Volume quote                | 29262600.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.199%     |
| Final balance               | 1903.66    |
| Final equity                | 1899.3     |
| Net PNL + fees              | 403.656    |
| Total gain                  | 27.17%     |
| Average daily gain          | 0.038%     |
| DG mean std ratio           | 0.1389     |
| Price action distance mean  | 0.0274006  |
| Price action distance std   | 0.0211294  |
| Price action distance max   | 0.223254   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9452     |
| Equity/balance ratio std    | 0.001725   |
| No. fills                   | 4174       |
| No. entries                 | 2350       |
| No. closes                  | 1824       |
| No. initial entries         | 1430       |
| No. reentries               | 920        |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 1824       |
| Average n fills per day     | 6.66       |
| Mean hours stuck            | 3.82819    |
| Max hours stuck             | 173.85     |
| PNL sum                     | 407.5      |
| Profit sum                  | 407.5      |
| Loss sum                    | 0.0        |
| Fee sum                     | -3.862     |
| Biggest pos size            | 9244.0     |
| Biggest pos cost            | 362.5      |
| Volume quote                | 38615.1    |
+-----------------------------+------------+
