+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | LINKUSDT   |
| No. days                    | 905.665    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.283%     |
| Final balance               | 19419.1    |
| Final equity                | 19418.9    |
| Net PNL + fees              | 17919.1    |
| Total gain                  | 1265.0%    |
| Average daily gain          | 0.298%     |
| DG mean std ratio           | 0.161      |
| Price action distance mean  | 0.00867949 |
| Price action distance std   | 0.0140037  |
| Price action distance max   | 0.331766   |
| Closest bankruptcy          | 99.91%     |
| Lowest equity/balance ratio | 0.7508     |
| Equity/balance ratio std    | 0.009373   |
| No. fills                   | 57624      |
| No. entries                 | 30247      |
| No. closes                  | 27377      |
| No. initial entries         | 23824      |
| No. reentries               | 6423       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 27377      |
| Average n fills per day     | 63.6       |
| Mean hours stuck            | 0.401618   |
| Max hours stuck             | 93.3833    |
| PNL sum                     | 18980.0    |
| Profit sum                  | 18980.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -1063.0    |
| Biggest pos size            | 3200.6     |
| Biggest pos cost            | 18700.0    |
| Volume quote                | 10632800.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.184%     |
| Final balance               | 1771.27    |
| Final equity                | 1771.25    |
| Net PNL + fees              | 271.268    |
| Total gain                  | 19.06%     |
| Average daily gain          | 0.0184%    |
| DG mean std ratio           | 0.1528     |
| Price action distance mean  | 0.012536   |
| Price action distance std   | 0.0136231  |
| Price action distance max   | 0.185547   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.982      |
| Equity/balance ratio std    | 0.001192   |
| No. fills                   | 39197      |
| No. entries                 | 22065      |
| No. closes                  | 17132      |
| No. initial entries         | 16249      |
| No. reentries               | 5816       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 17132      |
| Average n fills per day     | 43.3       |
| Mean hours stuck            | 0.56672    |
| Max hours stuck             | 101.967    |
| PNL sum                     | 285.9      |
| Profit sum                  | 285.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -14.59     |
| Biggest pos size            | 70.1       |
| Biggest pos cost            | 176.4      |
| Volume quote                | 145864.0   |
+-----------------------------+------------+
