+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 664.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.246%    |
| Final balance               | 7681.21   |
| Final equity                | 7668.21   |
| Net PNL + fees              | 6181.21   |
| Total gain                  | 418.2%    |
| Average daily gain          | 0.267%    |
| DG mean std ratio           | 0.129     |
| Price action distance mean  | 0.029709  |
| Price action distance std   | 0.0326823 |
| Price action distance max   | 0.510353  |
| Closest bankruptcy          | 99.29%    |
| Lowest equity/balance ratio | 0.6605    |
| Equity/balance ratio std    | 0.02318   |
| No. fills                   | 7256      |
| No. entries                 | 4375      |
| No. closes                  | 2881      |
| No. initial entries         | 2701      |
| No. reentries               | 1674      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2881      |
| Average n fills per day     | 10.9      |
| Mean hours stuck            | 2.22807   |
| Max hours stuck             | 242.583   |
| PNL sum                     | 6273.0    |
| Profit sum                  | 6273.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -91.39    |
| Biggest pos size            | 1376.5    |
| Biggest pos cost            | 6407.0    |
| Volume quote                | 913910.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.137%    |
| Final balance               | 1643.22   |
| Final equity                | 1641.48   |
| Net PNL + fees              | 143.219   |
| Total gain                  | 9.617%    |
| Average daily gain          | 0.0289%   |
| DG mean std ratio           | 0.01651   |
| Price action distance mean  | 0.341422  |
| Price action distance std   | 0.304115  |
| Price action distance max   | 0.83254   |
| Closest bankruptcy          | 84.31%    |
| Lowest equity/balance ratio | 0.5031    |
| Equity/balance ratio std    | 0.1284    |
| No. fills                   | 1819      |
| No. entries                 | 1335      |
| No. closes                  | 484       |
| No. initial entries         | 220       |
| No. reentries               | 1115      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 484       |
| Average n fills per day     | 2.74      |
| Mean hours stuck            | 10.0586   |
| Max hours stuck             | 6460.02   |
| PNL sum                     | 144.3     |
| Profit sum                  | 144.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.033    |
| Biggest pos size            | 77.4      |
| Biggest pos cost            | 161.1     |
| Volume quote                | 10334.6   |
+-----------------------------+-----------+
