+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 664.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.466%    |
| Final balance               | 33002.1   |
| Final equity                | 32932.8   |
| Net PNL + fees              | 31502.1   |
| Total gain                  | 2141.0%   |
| Average daily gain          | 0.476%    |
| DG mean std ratio           | 0.3148    |
| Price action distance mean  | 0.0143967 |
| Price action distance std   | 0.0190763 |
| Price action distance max   | 0.434043  |
| Closest bankruptcy          | 99.85%    |
| Lowest equity/balance ratio | 0.697     |
| Equity/balance ratio std    | 0.01494   |
| No. fills                   | 15850     |
| No. entries                 | 9654      |
| No. closes                  | 6196      |
| No. initial entries         | 5446      |
| No. reentries               | 4208      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6196      |
| Average n fills per day     | 23.8      |
| Mean hours stuck            | 1.0343    |
| Max hours stuck             | 106.583   |
| PNL sum                     | 32120.0   |
| Profit sum                  | 32120.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -615.9    |
| Biggest pos size            | 1945.5    |
| Biggest pos cost            | 32310.0   |
| Volume quote                | 6159190.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.164%    |
| Final balance               | 1672.51   |
| Final equity                | 1670.54   |
| Net PNL + fees              | 172.512   |
| Total gain                  | 11.57%    |
| Average daily gain          | 0.032%    |
| DG mean std ratio           | 0.01801   |
| Price action distance mean  | 0.330728  |
| Price action distance std   | 0.30954   |
| Price action distance max   | 0.834683  |
| Closest bankruptcy          | 82.7%     |
| Lowest equity/balance ratio | 0.4977    |
| Equity/balance ratio std    | 0.1302    |
| No. fills                   | 1375      |
| No. entries                 | 1032      |
| No. closes                  | 343       |
| No. initial entries         | 208       |
| No. reentries               | 824       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 343       |
| Average n fills per day     | 2.07      |
| Mean hours stuck            | 12.2339   |
| Max hours stuck             | 6472.73   |
| PNL sum                     | 173.6     |
| Profit sum                  | 173.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.071    |
| Biggest pos size            | 77.1      |
| Biggest pos cost            | 164.1     |
| Volume quote                | 10713.9   |
+-----------------------------+-----------+
