+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 317.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.306%    |
| Final balance               | 3957.39   |
| Final equity                | 3935.31   |
| Net PNL + fees              | 2457.39   |
| Total gain                  | 165.4%    |
| Average daily gain          | 0.311%    |
| DG mean std ratio           | 0.2549    |
| Price action distance mean  | 0.0179629 |
| Price action distance std   | 0.0159165 |
| Price action distance max   | 0.255875  |
| Closest bankruptcy          | 99.84%    |
| Lowest equity/balance ratio | 0.7962    |
| Equity/balance ratio std    | 0.004588  |
| No. fills                   | 2054      |
| No. entries                 | 1336      |
| No. closes                  | 718       |
| No. initial entries         | 558       |
| No. reentries               | 778       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 718       |
| Average n fills per day     | 6.46      |
| Mean hours stuck            | 3.85082   |
| Max hours stuck             | 89.3667   |
| PNL sum                     | 2480.0    |
| Profit sum                  | 2480.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -23.06    |
| Biggest pos size            | 3310.7    |
| Biggest pos cost            | 3621.0    |
| Volume quote                | 230567.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 1.07%     |
| Final balance               | 2105.26   |
| Final equity                | 1919.63   |
| Net PNL + fees              | 605.258   |
| Total gain                  | 40.76%    |
| Average daily gain          | 0.0812%   |
| DG mean std ratio           | 0.09617   |
| Price action distance mean  | 0.17346   |
| Price action distance std   | 0.153437  |
| Price action distance max   | 0.554482  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8767    |
| Equity/balance ratio std    | 0.02767   |
| No. fills                   | 4020      |
| No. entries                 | 2702      |
| No. closes                  | 1318      |
| No. initial entries         | 140       |
| No. reentries               | 2562      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1318      |
| Average n fills per day     | 12.6      |
| Mean hours stuck            | 2.56937   |
| Max hours stuck             | 1245.05   |
| PNL sum                     | 611.3     |
| Profit sum                  | 611.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.073    |
| Biggest pos size            | 185.6     |
| Biggest pos cost            | 210.3     |
| Volume quote                | 60734.5   |
+-----------------------------+-----------+
