+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 554.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.5%      |
| Final balance               | 1979.49   |
| Final equity                | 1979.31   |
| Net PNL + fees              | 479.495   |
| Total gain                  | 33.99%    |
| Average daily gain          | 0.05%     |
| DG mean std ratio           | 0.3843    |
| Price action distance mean  | 0.0118089 |
| Price action distance std   | 0.0135664 |
| Price action distance max   | 0.538178  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.965     |
| Equity/balance ratio std    | 0.001086  |
| No. fills                   | 53044     |
| No. entries                 | 27911     |
| No. closes                  | 25133     |
| No. initial entries         | 23704     |
| No. reentries               | 4051      |
| No. unstuck entries         | 156       |
| No. unstuck closes          | 81        |
| No. normal closes           | 25052     |
| Average n fills per day     | 95.6      |
| Mean hours stuck            | 0.257474  |
| Max hours stuck             | 51.7167   |
| PNL sum                     | 509.9     |
| Profit sum                  | 569.5     |
| Loss sum                    | -59.6     |
| Fee sum                     | -30.42    |
| Biggest pos size            | 1749.0    |
| Biggest pos cost            | 197.5     |
| Volume quote                | 304162.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.277%    |
| Final balance               | 1749.16   |
| Final equity                | 1749.16   |
| Net PNL + fees              | 249.159   |
| Total gain                  | 17.28%    |
| Average daily gain          | 0.0279%   |
| DG mean std ratio           | 0.1397    |
| Price action distance mean  | 0.0146983 |
| Price action distance std   | 0.0258426 |
| Price action distance max   | 0.302723  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9556    |
| Equity/balance ratio std    | 0.002616  |
| No. fills                   | 29186     |
| No. entries                 | 16797     |
| No. closes                  | 12389     |
| No. initial entries         | 11209     |
| No. reentries               | 5576      |
| No. unstuck entries         | 12        |
| No. unstuck closes          | 4         |
| No. normal closes           | 12385     |
| Average n fills per day     | 52.6      |
| Mean hours stuck            | 0.476877  |
| Max hours stuck             | 159.033   |
| PNL sum                     | 259.3     |
| Profit sum                  | 260.2     |
| Loss sum                    | -0.9629   |
| Fee sum                     | -10.09    |
| Biggest pos size            | 1434.0    |
| Biggest pos cost            | 175.7     |
| Volume quote                | 100937.0  |
+-----------------------------+-----------+
