+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ADAUSDT    |
| No. days                    | 914.665    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.306%     |
| Final balance               | 1984.97    |
| Final equity                | 1984.94    |
| Net PNL + fees              | 484.968    |
| Total gain                  | 33.75%     |
| Average daily gain          | 0.0309%    |
| DG mean std ratio           | 0.1254     |
| Price action distance mean  | 0.00834508 |
| Price action distance std   | 0.00848531 |
| Price action distance max   | 0.45634    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9687     |
| Equity/balance ratio std    | 0.0005585  |
| No. fills                   | 53393      |
| No. entries                 | 29091      |
| No. closes                  | 24302      |
| No. initial entries         | 23875      |
| No. reentries               | 5209       |
| No. unstuck entries         | 7          |
| No. unstuck closes          | 1          |
| No. normal closes           | 24301      |
| Average n fills per day     | 58.4       |
| Mean hours stuck            | 0.41483    |
| Max hours stuck             | 46.0833    |
| PNL sum                     | 506.2      |
| Profit sum                  | 506.2      |
| Loss sum                    | -0.0268    |
| Fee sum                     | -21.23     |
| Biggest pos size            | 6304.0     |
| Biggest pos cost            | 198.8      |
| Volume quote                | 212283.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.108%     |
| Final balance               | 1655.19    |
| Final equity                | 1655.19    |
| Net PNL + fees              | 155.19     |
| Total gain                  | 10.82%     |
| Average daily gain          | 0.0109%    |
| DG mean std ratio           | 0.08078    |
| Price action distance mean  | 0.0168093  |
| Price action distance std   | 0.020021   |
| Price action distance max   | 0.228885   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9703     |
| Equity/balance ratio std    | 0.001907   |
| No. fills                   | 26334      |
| No. entries                 | 14137      |
| No. closes                  | 12197      |
| No. initial entries         | 12179      |
| No. reentries               | 1958       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 12197      |
| Average n fills per day     | 28.8       |
| Mean hours stuck            | 0.834199   |
| Max hours stuck             | 301.55     |
| PNL sum                     | 162.3      |
| Profit sum                  | 162.3      |
| Loss sum                    | 0.0        |
| Fee sum                     | -7.133     |
| Biggest pos size            | 5257.0     |
| Biggest pos cost            | 164.6      |
| Volume quote                | 71330.9    |
+-----------------------------+------------+
