+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 672.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.368%    |
| Final balance               | 1920.62   |
| Final equity                | 1920.44   |
| Net PNL + fees              | 420.619   |
| Total gain                  | 29.4%     |
| Average daily gain          | 0.0367%   |
| DG mean std ratio           | 0.2811    |
| Price action distance mean  | 0.0118167 |
| Price action distance std   | 0.0177522 |
| Price action distance max   | 0.523391  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9656    |
| Equity/balance ratio std    | 0.001518  |
| No. fills                   | 62200     |
| No. entries                 | 41042     |
| No. closes                  | 21158     |
| No. initial entries         | 20474     |
| No. reentries               | 20568     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 41        |
| No. normal closes           | 21117     |
| Average n fills per day     | 92.5      |
| Mean hours stuck            | 0.26594   |
| Max hours stuck             | 126.883   |
| PNL sum                     | 441.0     |
| Profit sum                  | 441.4     |
| Loss sum                    | -0.3706   |
| Fee sum                     | -20.39    |
| Biggest pos size            | 1242.9    |
| Biggest pos cost            | 192.0     |
| Volume quote                | 203855.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.216%    |
| Final balance               | 1734.55   |
| Final equity                | 1734.55   |
| Net PNL + fees              | 234.545   |
| Total gain                  | 16.32%    |
| Average daily gain          | 0.0216%   |
| DG mean std ratio           | 0.1983    |
| Price action distance mean  | 0.0112618 |
| Price action distance std   | 0.0160676 |
| Price action distance max   | 0.31753   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9534    |
| Equity/balance ratio std    | 0.001396  |
| No. fills                   | 28122     |
| No. entries                 | 16088     |
| No. closes                  | 12034     |
| No. initial entries         | 11345     |
| No. reentries               | 4738      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 181       |
| No. normal closes           | 11853     |
| Average n fills per day     | 41.8      |
| Mean hours stuck            | 0.584602  |
| Max hours stuck             | 92.3      |
| PNL sum                     | 244.8     |
| Profit sum                  | 256.4     |
| Loss sum                    | -11.59    |
| Fee sum                     | -10.21    |
| Biggest pos size            | 1143.9    |
| Biggest pos cost            | 172.7     |
| Volume quote                | 102128.0  |
+-----------------------------+-----------+
