+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XLMUSDT    |
| No. days                    | 925.663    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.308%     |
| Final balance               | 1993.87    |
| Final equity                | 1993.41    |
| Net PNL + fees              | 493.873    |
| Total gain                  | 33.98%     |
| Average daily gain          | 0.0319%    |
| DG mean std ratio           | 0.06351    |
| Price action distance mean  | 0.00901354 |
| Price action distance std   | 0.0108674  |
| Price action distance max   | 0.658447   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9603     |
| Equity/balance ratio std    | 0.0006995  |
| No. fills                   | 45896      |
| No. entries                 | 24953      |
| No. closes                  | 20943      |
| No. initial entries         | 19709      |
| No. reentries               | 5183       |
| No. unstuck entries         | 61         |
| No. unstuck closes          | 794        |
| No. normal closes           | 20149      |
| Average n fills per day     | 49.6       |
| Mean hours stuck            | 0.48924    |
| Max hours stuck             | 45.0       |
| PNL sum                     | 509.7      |
| Profit sum                  | 533.3      |
| Loss sum                    | -23.58     |
| Fee sum                     | -15.81     |
| Biggest pos size            | 4442.0     |
| Biggest pos cost            | 198.5      |
| Volume quote                | 158070.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.204%     |
| Final balance               | 1810.92    |
| Final equity                | 1810.92    |
| Net PNL + fees              | 310.916    |
| Total gain                  | 21.6%      |
| Average daily gain          | 0.0206%    |
| DG mean std ratio           | 0.09778    |
| Price action distance mean  | 0.015083   |
| Price action distance std   | 0.0242292  |
| Price action distance max   | 0.303782   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9563     |
| Equity/balance ratio std    | 0.002904   |
| No. fills                   | 36570      |
| No. entries                 | 23566      |
| No. closes                  | 13004      |
| No. initial entries         | 12144      |
| No. reentries               | 11421      |
| No. unstuck entries         | 1          |
| No. unstuck closes          | 19         |
| No. normal closes           | 12985      |
| Average n fills per day     | 39.5       |
| Mean hours stuck            | 0.625871   |
| Max hours stuck             | 278.85     |
| PNL sum                     | 324.0      |
| Profit sum                  | 324.9      |
| Loss sum                    | -0.9289    |
| Fee sum                     | -13.06     |
| Biggest pos size            | 4040.0     |
| Biggest pos cost            | 180.7      |
| Volume quote                | 130569.0   |
+-----------------------------+------------+
