+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ADAUSDT    |
| No. days                    | 914.665    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.521%     |
| Final balance               | 2415.38    |
| Final equity                | 2415.35    |
| Net PNL + fees              | 915.385    |
| Total gain                  | 65.51%     |
| Average daily gain          | 0.0528%    |
| DG mean std ratio           | 0.1329     |
| Price action distance mean  | 0.00644715 |
| Price action distance std   | 0.00993425 |
| Price action distance max   | 0.386359   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9721     |
| Equity/balance ratio std    | 0.0007801  |
| No. fills                   | 78084      |
| No. entries                 | 41478      |
| No. closes                  | 36606      |
| No. initial entries         | 29928      |
| No. reentries               | 10820      |
| No. unstuck entries         | 730        |
| No. unstuck closes          | 1037       |
| No. normal closes           | 35569      |
| Average n fills per day     | 85.4       |
| Mean hours stuck            | 0.302264   |
| Max hours stuck             | 27.2       |
| PNL sum                     | 982.7      |
| Profit sum                  | 1421.0     |
| Loss sum                    | -438.3     |
| Fee sum                     | -67.29     |
| Biggest pos size            | 6946.0     |
| Biggest pos cost            | 241.3      |
| Volume quote                | 672929.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0938%    |
| Final balance               | 1634.39    |
| Final equity                | 1634.39    |
| Net PNL + fees              | 134.392    |
| Total gain                  | 9.36%      |
| Average daily gain          | 0.00943%   |
| DG mean std ratio           | 0.09252    |
| Price action distance mean  | 0.0101538  |
| Price action distance std   | 0.0134213  |
| Price action distance max   | 0.225542   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9709     |
| Equity/balance ratio std    | 0.001057   |
| No. fills                   | 20034      |
| No. entries                 | 11453      |
| No. closes                  | 8581       |
| No. initial entries         | 8560       |
| No. reentries               | 2892       |
| No. unstuck entries         | 1          |
| No. unstuck closes          | 5          |
| No. normal closes           | 8576       |
| Average n fills per day     | 21.9       |
| Mean hours stuck            | 1.09727    |
| Max hours stuck             | 276.717    |
| PNL sum                     | 140.4      |
| Profit sum                  | 140.4      |
| Loss sum                    | -0.03792   |
| Fee sum                     | -6.006     |
| Biggest pos size            | 4960.0     |
| Biggest pos cost            | 163.8      |
| Volume quote                | 60060.3    |
+-----------------------------+------------+
