+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | TRXUSDT    |
| No. days                    | 930.662    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.191%     |
| Final balance               | 1791.97    |
| Final equity                | 1791.54    |
| Net PNL + fees              | 291.967    |
| Total gain                  | 20.49%     |
| Average daily gain          | 0.0194%    |
| DG mean std ratio           | 0.07496    |
| Price action distance mean  | 0.0140954  |
| Price action distance std   | 0.0198467  |
| Price action distance max   | 0.953099   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9512     |
| Equity/balance ratio std    | 0.001446   |
| No. fills                   | 52410      |
| No. entries                 | 37380      |
| No. closes                  | 15030      |
| No. initial entries         | 13094      |
| No. reentries               | 24253      |
| No. unstuck entries         | 33         |
| No. unstuck closes          | 1117       |
| No. normal closes           | 13913      |
| Average n fills per day     | 56.3       |
| Mean hours stuck            | 0.453576   |
| Max hours stuck             | 179.383    |
| PNL sum                     | 307.4      |
| Profit sum                  | 394.8      |
| Loss sum                    | -87.45     |
| Fee sum                     | -15.4      |
| Biggest pos size            | 16425.0    |
| Biggest pos cost            | 180.3      |
| Volume quote                | 154012.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.131%     |
| Final balance               | 1694.51    |
| Final equity                | 1694.51    |
| Net PNL + fees              | 194.511    |
| Total gain                  | 13.42%     |
| Average daily gain          | 0.0131%    |
| DG mean std ratio           | 0.1386     |
| Price action distance mean  | 0.00929441 |
| Price action distance std   | 0.0108178  |
| Price action distance max   | 0.226321   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9707     |
| Equity/balance ratio std    | 0.0008121  |
| No. fills                   | 19520      |
| No. entries                 | 12662      |
| No. closes                  | 6858       |
| No. initial entries         | 6847       |
| No. reentries               | 5815       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 6858       |
| Average n fills per day     | 21.0       |
| Mean hours stuck            | 1.1495     |
| Max hours stuck             | 118.9      |
| PNL sum                     | 201.3      |
| Profit sum                  | 201.3      |
| Loss sum                    | 0.0        |
| Fee sum                     | -6.746     |
| Biggest pos size            | 13432.0    |
| Biggest pos cost            | 167.5      |
| Volume quote                | 67456.1    |
+-----------------------------+------------+
