+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 649.706   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.471%    |
| Final balance               | 2036.56   |
| Final equity                | 2036.45   |
| Net PNL + fees              | 536.562   |
| Total gain                  | 38.22%    |
| Average daily gain          | 0.0474%   |
| DG mean std ratio           | 0.1749    |
| Price action distance mean  | 0.0131655 |
| Price action distance std   | 0.0199731 |
| Price action distance max   | 0.401396  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9714    |
| Equity/balance ratio std    | 0.001217  |
| No. fills                   | 93452     |
| No. entries                 | 51370     |
| No. closes                  | 42082     |
| No. initial entries         | 40811     |
| No. reentries               | 10559     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 42082     |
| Average n fills per day     | 144.0     |
| Mean hours stuck            | 0.169235  |
| Max hours stuck             | 108.717   |
| PNL sum                     | 573.3     |
| Profit sum                  | 573.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -36.75    |
| Biggest pos size            | 7807.0    |
| Biggest pos cost            | 201.2     |
| Volume quote                | 367545.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.134%    |
| Final balance               | 1636.2    |
| Final equity                | 1636.19   |
| Net PNL + fees              | 136.202   |
| Total gain                  | 9.551%    |
| Average daily gain          | 0.0135%   |
| DG mean std ratio           | 0.08556   |
| Price action distance mean  | 0.0188736 |
| Price action distance std   | 0.0167959 |
| Price action distance max   | 0.207316  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9739    |
| Equity/balance ratio std    | 0.0008474 |
| No. fills                   | 29154     |
| No. entries                 | 15603     |
| No. closes                  | 13551     |
| No. initial entries         | 13056     |
| No. reentries               | 2546      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13551     |
| Average n fills per day     | 44.9      |
| Mean hours stuck            | 0.543801  |
| Max hours stuck             | 80.6833   |
| PNL sum                     | 143.3     |
| Profit sum                  | 143.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.066    |
| Biggest pos size            | 9678.0    |
| Biggest pos cost            | 164.1     |
| Volume quote                | 70659.8   |
+-----------------------------+-----------+
