+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ENJUSDT    |
| No. days                    | 672.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.385%     |
| Final balance               | 19933.6    |
| Final equity                | 19911.5    |
| Net PNL + fees              | 18433.6    |
| Total gain                  | 1306.0%    |
| Average daily gain          | 0.414%     |
| DG mean std ratio           | 0.1672     |
| Price action distance mean  | 0.0142066  |
| Price action distance std   | 0.0263162  |
| Price action distance max   | 0.737039   |
| Closest bankruptcy          | 99.96%     |
| Lowest equity/balance ratio | 0.5757     |
| Equity/balance ratio std    | 0.02107    |
| No. fills                   | 53837      |
| No. entries                 | 28307      |
| No. closes                  | 25530      |
| No. initial entries         | 20662      |
| No. reentries               | 7603       |
| No. unstuck entries         | 42         |
| No. unstuck closes          | 3943       |
| No. normal closes           | 21587      |
| Average n fills per day     | 80.0       |
| Mean hours stuck            | 0.304749   |
| Max hours stuck             | 73.0333    |
| PNL sum                     | 19590.0    |
| Profit sum                  | 25480.0    |
| Loss sum                    | -5886.0    |
| Fee sum                     | -1156.0    |
| Biggest pos size            | 40520.6    |
| Biggest pos cost            | 19890.0    |
| Volume quote                | 11559300.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.221%     |
| Final balance               | 1740.53    |
| Final equity                | 1740.53    |
| Net PNL + fees              | 240.531    |
| Total gain                  | 16.78%     |
| Average daily gain          | 0.0222%    |
| DG mean std ratio           | 0.1575     |
| Price action distance mean  | 0.0159294  |
| Price action distance std   | 0.0230857  |
| Price action distance max   | 0.261366   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9646     |
| Equity/balance ratio std    | 0.001673   |
| No. fills                   | 40139      |
| No. entries                 | 29811      |
| No. closes                  | 10328      |
| No. initial entries         | 9978       |
| No. reentries               | 19833      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 18         |
| No. normal closes           | 10310      |
| Average n fills per day     | 59.7       |
| Mean hours stuck            | 0.441143   |
| Max hours stuck             | 269.217    |
| PNL sum                     | 251.7      |
| Profit sum                  | 251.8      |
| Loss sum                    | -0.089     |
| Fee sum                     | -11.21     |
| Biggest pos size            | 884.6      |
| Biggest pos cost            | 173.6      |
| Volume quote                | 112091.0   |
+-----------------------------+------------+
