+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 554.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.404%    |
| Final balance               | 14010.1   |
| Final equity                | 13996.4   |
| Net PNL + fees              | 12510.1   |
| Total gain                  | 891.5%    |
| Average daily gain          | 0.422%    |
| DG mean std ratio           | 0.2155    |
| Price action distance mean  | 0.0124634 |
| Price action distance std   | 0.0204135 |
| Price action distance max   | 0.9809    |
| Closest bankruptcy          | 99.78%    |
| Lowest equity/balance ratio | 0.5047    |
| Equity/balance ratio std    | 0.01449   |
| No. fills                   | 60581     |
| No. entries                 | 32075     |
| No. closes                  | 28506     |
| No. initial entries         | 23538     |
| No. reentries               | 8460      |
| No. unstuck entries         | 77        |
| No. unstuck closes          | 2584      |
| No. normal closes           | 25922     |
| Average n fills per day     | 109.0     |
| Mean hours stuck            | 0.228506  |
| Max hours stuck             | 52.7333   |
| PNL sum                     | 13370.0   |
| Profit sum                  | 17490.0   |
| Loss sum                    | -4115.0   |
| Fee sum                     | -862.2    |
| Biggest pos size            | 21887.0   |
| Biggest pos cost            | 13950.0   |
| Volume quote                | 8622020.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.252%    |
| Final balance               | 1725.07   |
| Final equity                | 1725.07   |
| Net PNL + fees              | 225.067   |
| Total gain                  | 15.66%    |
| Average daily gain          | 0.0253%   |
| DG mean std ratio           | 0.1701    |
| Price action distance mean  | 0.0135728 |
| Price action distance std   | 0.0198086 |
| Price action distance max   | 0.282481  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9606    |
| Equity/balance ratio std    | 0.001941  |
| No. fills                   | 26687     |
| No. entries                 | 14934     |
| No. closes                  | 11753     |
| No. initial entries         | 11066     |
| No. reentries               | 3858      |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 24        |
| No. normal closes           | 11729     |
| Average n fills per day     | 48.1      |
| Mean hours stuck            | 0.511998  |
| Max hours stuck             | 79.4167   |
| PNL sum                     | 234.9     |
| Profit sum                  | 245.4     |
| Loss sum                    | -10.42    |
| Fee sum                     | -9.878    |
| Biggest pos size            | 1404.0    |
| Biggest pos cost            | 172.0     |
| Volume quote                | 98784.2   |
+-----------------------------+-----------+
