+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | WAVESUSDT  |
| No. days                    | 720.706    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.266%     |
| Final balance               | 10163.2    |
| Final equity                | 10162.3    |
| Net PNL + fees              | 8663.21    |
| Total gain                  | 615.9%     |
| Average daily gain          | 0.278%     |
| DG mean std ratio           | 0.1599     |
| Price action distance mean  | 0.00832666 |
| Price action distance std   | 0.0108313  |
| Price action distance max   | 0.289035   |
| Closest bankruptcy          | 99.72%     |
| Lowest equity/balance ratio | 0.7756     |
| Equity/balance ratio std    | 0.006386   |
| No. fills                   | 42457      |
| No. entries                 | 20945      |
| No. closes                  | 21512      |
| No. initial entries         | 14722      |
| No. reentries               | 5883       |
| No. unstuck entries         | 340        |
| No. unstuck closes          | 5957       |
| No. normal closes           | 15555      |
| Average n fills per day     | 58.9       |
| Mean hours stuck            | 0.415722   |
| Max hours stuck             | 39.6833    |
| PNL sum                     | 9238.0     |
| Profit sum                  | 13920.0    |
| Loss sum                    | -4678.0    |
| Fee sum                     | -575.2     |
| Biggest pos size            | 2101.2     |
| Biggest pos cost            | 10100.0    |
| Volume quote                | 5751760.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0895%    |
| Final balance               | 1599.89    |
| Final equity                | 1599.89    |
| Net PNL + fees              | 99.889     |
| Total gain                  | 6.935%     |
| Average daily gain          | 0.00904%   |
| DG mean std ratio           | 0.06471    |
| Price action distance mean  | 0.0248891  |
| Price action distance std   | 0.0341636  |
| Price action distance max   | 0.340296   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9487     |
| Equity/balance ratio std    | 0.003028   |
| No. fills                   | 16869      |
| No. entries                 | 10279      |
| No. closes                  | 6590       |
| No. initial entries         | 6459       |
| No. reentries               | 3816       |
| No. unstuck entries         | 4          |
| No. unstuck closes          | 4          |
| No. normal closes           | 6586       |
| Average n fills per day     | 23.4       |
| Mean hours stuck            | 1.03786    |
| Max hours stuck             | 139.167    |
| PNL sum                     | 104.0      |
| Profit sum                  | 104.9      |
| Loss sum                    | -0.897     |
| Fee sum                     | -4.134     |
| Biggest pos size            | 51.0       |
| Biggest pos cost            | 162.0      |
| Volume quote                | 41335.9    |
+-----------------------------+------------+
