+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ALGOUSDT  |
| No. days                    | 744.623   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.384%    |
| Final balance               | 25994.6   |
| Final equity                | 25992.7   |
| Net PNL + fees              | 24494.6   |
| Total gain                  | 1692.0%   |
| Average daily gain          | 0.394%    |
| DG mean std ratio           | 0.2733    |
| Price action distance mean  | 0.0132155 |
| Price action distance std   | 0.0166575 |
| Price action distance max   | 0.388009  |
| Closest bankruptcy          | 99.98%    |
| Lowest equity/balance ratio | 0.7204    |
| Equity/balance ratio std    | 0.01194   |
| No. fills                   | 35955     |
| No. entries                 | 22231     |
| No. closes                  | 13724     |
| No. initial entries         | 12461     |
| No. reentries               | 9770      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13724     |
| Average n fills per day     | 48.3      |
| Mean hours stuck            | 0.51193   |
| Max hours stuck             | 73.9      |
| PNL sum                     | 25380.0   |
| Profit sum                  | 25380.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -889.5    |
| Biggest pos size            | 53575.0   |
| Biggest pos cost            | 22180.0   |
| Volume quote                | 8895210.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.3%      |
| Final balance               | 1874.83   |
| Final equity                | 1874.75   |
| Net PNL + fees              | 374.826   |
| Total gain                  | 25.15%    |
| Average daily gain          | 0.0302%   |
| DG mean std ratio           | 0.1376    |
| Price action distance mean  | 0.0191349 |
| Price action distance std   | 0.0195652 |
| Price action distance max   | 0.298488  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9574    |
| Equity/balance ratio std    | 0.001796  |
| No. fills                   | 2286      |
| No. entries                 | 1444      |
| No. closes                  | 842       |
| No. initial entries         | 527       |
| No. reentries               | 917       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 842       |
| Average n fills per day     | 3.07      |
| Mean hours stuck            | 8.10474   |
| Max hours stuck             | 290.683   |
| PNL sum                     | 377.3     |
| Profit sum                  | 377.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.457    |
| Biggest pos size            | 613.4     |
| Biggest pos cost            | 184.5     |
| Volume quote                | 24568.9   |
+-----------------------------+-----------+
