+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SUSHIUSDT |
| No. days                    | 828.126   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.134%    |
| Final balance               | 1978.58   |
| Final equity                | 1967.04   |
| Net PNL + fees              | 478.584   |
| Total gain                  | 33.29%    |
| Average daily gain          | 0.0377%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.484192  |
| Price action distance std   | 1.10026   |
| Price action distance max   | 7.1958    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7813    |
| Equity/balance ratio std    | 0.06085   |
| No. fills                   | 80693     |
| No. entries                 | 23463     |
| No. closes                  | 57230     |
| No. initial entries         | 17775     |
| No. reentries               | 5688      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 57230     |
| Average n fills per day     | 97.4      |
| Mean hours stuck            | 0.6284    |
| Max hours stuck             | 4249.15   |
| PNL sum                     | 499.4     |
| Profit sum                  | 499.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -20.83    |
| Biggest pos size            | 286.7     |
| Biggest pos cost            | 489.3     |
| Volume quote                | 208254.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.14%     |
| Final balance               | 1723.17   |
| Final equity                | 1723.17   |
| Net PNL + fees              | 223.174   |
| Total gain                  | 15.02%    |
| Average daily gain          | 0.0172%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.027039  |
| Price action distance std   | 0.0298355 |
| Price action distance max   | 0.350916  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.935     |
| Equity/balance ratio std    | 0.004062  |
| No. fills                   | 16598     |
| No. entries                 | 6763      |
| No. closes                  | 9835      |
| No. initial entries         | 2441      |
| No. reentries               | 4322      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9835      |
| Average n fills per day     | 20.0      |
| Mean hours stuck            | 2.27247   |
| Max hours stuck             | 346.967   |
| PNL sum                     | 225.3     |
| Profit sum                  | 225.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.145    |
| Biggest pos size            | 277.2     |
| Biggest pos cost            | 206.2     |
| Volume quote                | 21447.3   |
+-----------------------------+-----------+
