+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 552.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.345%    |
| Final balance               | 10077.6   |
| Final equity                | 10055.2   |
| Net PNL + fees              | 8577.62   |
| Total gain                  | 598.7%    |
| Average daily gain          | 0.356%    |
| DG mean std ratio           | 0.2455    |
| Price action distance mean  | 0.0186368 |
| Price action distance std   | 0.0221501 |
| Price action distance max   | 0.791926  |
| Closest bankruptcy          | 99.87%    |
| Lowest equity/balance ratio | 0.5579    |
| Equity/balance ratio std    | 0.01199   |
| No. fills                   | 45632     |
| No. entries                 | 27230     |
| No. closes                  | 18402     |
| No. initial entries         | 15043     |
| No. reentries               | 12166     |
| No. unstuck entries         | 21        |
| No. unstuck closes          | 1252      |
| No. normal closes           | 17150     |
| Average n fills per day     | 82.6      |
| Mean hours stuck            | 0.305377  |
| Max hours stuck             | 83.4167   |
| PNL sum                     | 8981.0    |
| Profit sum                  | 10240.0   |
| Loss sum                    | -1255.0   |
| Fee sum                     | -403.4    |
| Biggest pos size            | 18072.0   |
| Biggest pos cost            | 9070.0    |
| Volume quote                | 4034200.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.134%    |
| Final balance               | 1615.09   |
| Final equity                | 1615.09   |
| Net PNL + fees              | 115.095   |
| Total gain                  | 7.984%    |
| Average daily gain          | 0.0134%   |
| DG mean std ratio           | 0.1221    |
| Price action distance mean  | 0.0213721 |
| Price action distance std   | 0.0194047 |
| Price action distance max   | 0.190611  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9764    |
| Equity/balance ratio std    | 0.000897  |
| No. fills                   | 16250     |
| No. entries                 | 9012      |
| No. closes                  | 7238      |
| No. initial entries         | 7122      |
| No. reentries               | 1887      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7238      |
| Average n fills per day     | 29.4      |
| Mean hours stuck            | 0.822124  |
| Max hours stuck             | 58.4667   |
| PNL sum                     | 119.8     |
| Profit sum                  | 119.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.671    |
| Biggest pos size            | 650.0     |
| Biggest pos cost            | 158.8     |
| Volume quote                | 46710.0   |
+-----------------------------+-----------+
