+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 649.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.187%    |
| Final balance               | 5035.51   |
| Final equity                | 5029.93   |
| Net PNL + fees              | 3535.51   |
| Total gain                  | 238.8%    |
| Average daily gain          | 0.199%    |
| DG mean std ratio           | 0.1245    |
| Price action distance mean  | 0.027601  |
| Price action distance std   | 0.0324565 |
| Price action distance max   | 0.55278   |
| Closest bankruptcy          | 99.94%    |
| Lowest equity/balance ratio | 0.644     |
| Equity/balance ratio std    | 0.02344   |
| No. fills                   | 5956      |
| No. entries                 | 3564      |
| No. closes                  | 2392      |
| No. initial entries         | 2089      |
| No. reentries               | 1475      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2392      |
| Average n fills per day     | 9.17      |
| Mean hours stuck            | 2.68428   |
| Max hours stuck             | 252.383   |
| PNL sum                     | 3582.0    |
| Profit sum                  | 3582.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -46.14    |
| Biggest pos size            | 12827.1   |
| Biggest pos cost            | 4506.0    |
| Volume quote                | 461378.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.206%    |
| Final balance               | 1714.59   |
| Final equity                | 1714.59   |
| Net PNL + fees              | 214.593   |
| Total gain                  | 14.45%    |
| Average daily gain          | 0.0207%   |
| DG mean std ratio           | 0.1313    |
| Price action distance mean  | 0.02146   |
| Price action distance std   | 0.0202422 |
| Price action distance max   | 0.213712  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9728    |
| Equity/balance ratio std    | 0.001519  |
| No. fills                   | 13030     |
| No. entries                 | 11308     |
| No. closes                  | 1722      |
| No. initial entries         | 1067      |
| No. reentries               | 10241     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1722      |
| Average n fills per day     | 20.1      |
| Mean hours stuck            | 1.8293    |
| Max hours stuck             | 187.433   |
| PNL sum                     | 216.8     |
| Profit sum                  | 216.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.2      |
| Biggest pos size            | 878.8     |
| Biggest pos cost            | 169.4     |
| Volume quote                | 22002.7   |
+-----------------------------+-----------+
