+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | SANDUSDT   |
| No. days                    | 531.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.523%     |
| Final balance               | 24084.9    |
| Final equity                | 23565.4    |
| Net PNL + fees              | 22584.9    |
| Total gain                  | 1583.0%    |
| Average daily gain          | 0.579%     |
| DG mean std ratio           | 0.1671     |
| Price action distance mean  | 0.0230695  |
| Price action distance std   | 0.054976   |
| Price action distance max   | 1.2525     |
| Closest bankruptcy          | 99.93%     |
| Lowest equity/balance ratio | 0.4438     |
| Equity/balance ratio std    | 0.04148    |
| No. fills                   | 59759      |
| No. entries                 | 37497      |
| No. closes                  | 22262      |
| No. initial entries         | 20458      |
| No. reentries               | 17039      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 22262      |
| Average n fills per day     | 112.0      |
| Mean hours stuck            | 0.221425   |
| Max hours stuck             | 246.2      |
| PNL sum                     | 23740.0    |
| Profit sum                  | 23740.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -1155.0    |
| Biggest pos size            | 28664.0    |
| Biggest pos cost            | 23330.0    |
| Volume quote                | 11546600.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.208%     |
| Final balance               | 1841.43    |
| Final equity                | 1841.42    |
| Net PNL + fees              | 341.428    |
| Total gain                  | 23.01%     |
| Average daily gain          | 0.0389%    |
| DG mean std ratio           | 0.1527     |
| Price action distance mean  | 0.025113   |
| Price action distance std   | 0.0201209  |
| Price action distance max   | 0.227062   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9454     |
| Equity/balance ratio std    | 0.002254   |
| No. fills                   | 4017       |
| No. entries                 | 1980       |
| No. closes                  | 2037       |
| No. initial entries         | 1317       |
| No. reentries               | 663        |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 2037       |
| Average n fills per day     | 7.55       |
| Mean hours stuck            | 3.69455    |
| Max hours stuck             | 124.033    |
| PNL sum                     | 345.2      |
| Profit sum                  | 345.2      |
| Loss sum                    | 0.0        |
| Fee sum                     | -3.774     |
| Biggest pos size            | 2142.0     |
| Biggest pos cost            | 340.6      |
| Volume quote                | 37741.0    |
+-----------------------------+------------+
