+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 930.651   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.251%    |
| Final balance               | 15405.5   |
| Final equity                | 15401.9   |
| Net PNL + fees              | 13905.5   |
| Total gain                  | 935.9%    |
| Average daily gain          | 0.263%    |
| DG mean std ratio           | 0.1644    |
| Price action distance mean  | 0.0139173 |
| Price action distance std   | 0.0183572 |
| Price action distance max   | 0.640327  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.6096    |
| Equity/balance ratio std    | 0.01333   |
| No. fills                   | 5412      |
| No. entries                 | 3435      |
| No. closes                  | 1977      |
| No. initial entries         | 1532      |
| No. reentries               | 1903      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1977      |
| Average n fills per day     | 5.82      |
| Mean hours stuck            | 4.32358   |
| Max hours stuck             | 206.733   |
| PNL sum                     | 14040.0   |
| Profit sum                  | 14040.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -132.9    |
| Biggest pos size            | 44429.0   |
| Biggest pos cost            | 14630.0   |
| Volume quote                | 1329140.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.199%    |
| Final balance               | 1805.85   |
| Final equity                | 1805.78   |
| Net PNL + fees              | 305.852   |
| Total gain                  | 20.56%    |
| Average daily gain          | 0.0208%   |
| DG mean std ratio           | 0.04939   |
| Price action distance mean  | 0.0400155 |
| Price action distance std   | 0.0733113 |
| Price action distance max   | 0.550797  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8774    |
| Equity/balance ratio std    | 0.01232   |
| No. fills                   | 3027      |
| No. entries                 | 1454      |
| No. closes                  | 1573      |
| No. initial entries         | 897       |
| No. reentries               | 557       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1573      |
| Average n fills per day     | 3.25      |
| Mean hours stuck            | 8.81437   |
| Max hours stuck             | 765.55    |
| PNL sum                     | 308.4     |
| Profit sum                  | 308.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.508    |
| Biggest pos size            | 857.0     |
| Biggest pos cost            | 179.5     |
| Volume quote                | 25080.0   |
+-----------------------------+-----------+
