+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | HNTUSDT   |
| No. days                    | 640.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.507%    |
| Final balance               | 38198.0   |
| Final equity                | 37501.3   |
| Net PNL + fees              | 36698.0   |
| Total gain                  | 2484.0%   |
| Average daily gain          | 0.532%    |
| DG mean std ratio           | 0.2218    |
| Price action distance mean  | 0.0160526 |
| Price action distance std   | 0.0280244 |
| Price action distance max   | 0.755787  |
| Closest bankruptcy          | 99.18%    |
| Lowest equity/balance ratio | 0.5696    |
| Equity/balance ratio std    | 0.02334   |
| No. fills                   | 11384     |
| No. entries                 | 6794      |
| No. closes                  | 4590      |
| No. initial entries         | 3179      |
| No. reentries               | 3615      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4590      |
| Average n fills per day     | 17.8      |
| Mean hours stuck            | 1.44888   |
| Max hours stuck             | 170.667   |
| PNL sum                     | 37260.0   |
| Profit sum                  | 37260.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -559.1    |
| Biggest pos size            | 3982.95   |
| Biggest pos cost            | 38200.0   |
| Volume quote                | 5591080.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.133%    |
| Final balance               | 1633.67   |
| Final equity                | 1633.67   |
| Net PNL + fees              | 133.666   |
| Total gain                  | 9.087%    |
| Average daily gain          | 0.0134%   |
| DG mean std ratio           | 0.1189    |
| Price action distance mean  | 0.0214573 |
| Price action distance std   | 0.0204427 |
| Price action distance max   | 0.209687  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9735    |
| Equity/balance ratio std    | 0.0009835 |
| No. fills                   | 7460      |
| No. entries                 | 4367      |
| No. closes                  | 3093      |
| No. initial entries         | 2916      |
| No. reentries               | 1451      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3093      |
| Average n fills per day     | 11.6      |
| Mean hours stuck            | 2.10326   |
| Max hours stuck             | 111.483   |
| PNL sum                     | 136.3     |
| Profit sum                  | 136.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.633    |
| Biggest pos size            | 153.32    |
| Biggest pos cost            | 162.8     |
| Volume quote                | 26332.0   |
+-----------------------------+-----------+
