+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 666.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.245%    |
| Final balance               | 2257.53   |
| Final equity                | 2257.54   |
| Net PNL + fees              | 757.527   |
| Total gain                  | 51.38%    |
| Average daily gain          | 0.0617%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0151548 |
| Price action distance std   | 0.0132589 |
| Price action distance max   | 0.519229  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9145    |
| Equity/balance ratio std    | 0.001854  |
| No. fills                   | 40134     |
| No. entries                 | 14620     |
| No. closes                  | 25514     |
| No. initial entries         | 12528     |
| No. reentries               | 2092      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 25514     |
| Average n fills per day     | 60.2      |
| Mean hours stuck            | 1.13935   |
| Max hours stuck             | 90.1667   |
| PNL sum                     | 770.7     |
| Profit sum                  | 770.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -13.14    |
| Biggest pos size            | 4775.0    |
| Biggest pos cost            | 560.9     |
| Volume quote                | 131411.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.247%    |
| Final balance               | 1827.06   |
| Final equity                | 1827.04   |
| Net PNL + fees              | 327.062   |
| Total gain                  | 22.56%    |
| Average daily gain          | 0.0334%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0704744 |
| Price action distance std   | 0.149607  |
| Price action distance max   | 0.69079   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7316    |
| Equity/balance ratio std    | 0.04004   |
| No. fills                   | 39177     |
| No. entries                 | 18705     |
| No. closes                  | 20472     |
| No. initial entries         | 16117     |
| No. reentries               | 2588      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 20472     |
| Average n fills per day     | 58.8      |
| Mean hours stuck            | 1.56642   |
| Max hours stuck             | 1604.42   |
| PNL sum                     | 338.4     |
| Profit sum                  | 338.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -11.31    |
| Biggest pos size            | 1759.0    |
| Biggest pos cost            | 219.7     |
| Volume quote                | 113093.0  |
+-----------------------------+-----------+
