+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 814.625   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.193%    |
| Final balance               | 1755.98   |
| Final equity                | 1755.88   |
| Net PNL + fees              | 255.978   |
| Total gain                  | 17.73%    |
| Average daily gain          | 0.0194%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0107157 |
| Price action distance std   | 0.0153174 |
| Price action distance max   | 0.412286  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9708    |
| Equity/balance ratio std    | 0.0005186 |
| No. fills                   | 20913     |
| No. entries                 | 12479     |
| No. closes                  | 8434      |
| No. initial entries         | 8110      |
| No. reentries               | 4369      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8434      |
| Average n fills per day     | 25.7      |
| Mean hours stuck            | 1.60927   |
| Max hours stuck             | 258.683   |
| PNL sum                     | 266.0     |
| Profit sum                  | 266.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.996    |
| Biggest pos size            | 30754.0   |
| Biggest pos cost            | 173.0     |
| Volume quote                | 99958.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.103%    |
| Final balance               | 1630.91   |
| Final equity                | 1630.89   |
| Net PNL + fees              | 130.906   |
| Total gain                  | 9.239%    |
| Average daily gain          | 0.0103%   |
| Loss to profit ratio        | 0.01277   |
| Price action distance mean  | 0.0152415 |
| Price action distance std   | 0.019612  |
| Price action distance max   | 0.441586  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9209    |
| Equity/balance ratio std    | 0.00125   |
| No. fills                   | 33408     |
| No. entries                 | 18075     |
| No. closes                  | 15333     |
| No. initial entries         | 12955     |
| No. reentries               | 5111      |
| No. unstuck entries         | 9         |
| No. unstuck closes          | 2363      |
| No. normal closes           | 12970     |
| Average n fills per day     | 41.0      |
| Mean hours stuck            | 1.34918   |
| Max hours stuck             | 283.217   |
| PNL sum                     | 138.6     |
| Profit sum                  | 140.4     |
| Loss sum                    | -1.793    |
| Fee sum                     | -7.673    |
| Biggest pos size            | 42389.0   |
| Biggest pos cost            | 156.5     |
| Volume quote                | 76725.6   |
+-----------------------------+-----------+
