+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | CHZUSDT   |
| No. days                    | 619.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.361%    |
| Final balance               | 1875.83   |
| Final equity                | 1875.5    |
| Net PNL + fees              | 375.834   |
| Total gain                  | 25.72%    |
| Average daily gain          | 0.0362%   |
| Loss to profit ratio        | 0.04683   |
| Price action distance mean  | 0.0161187 |
| Price action distance std   | 0.0124818 |
| Price action distance max   | 0.954837  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9511    |
| Equity/balance ratio std    | 0.0005253 |
| No. fills                   | 14873     |
| No. entries                 | 7511      |
| No. closes                  | 7362      |
| No. initial entries         | 5437      |
| No. reentries               | 1805      |
| No. unstuck entries         | 269       |
| No. unstuck closes          | 114       |
| No. normal closes           | 7248      |
| Average n fills per day     | 24.0      |
| Mean hours stuck            | 3.02542   |
| Max hours stuck             | 86.0333   |
| PNL sum                     | 385.8     |
| Profit sum                  | 404.7     |
| Loss sum                    | -18.95    |
| Fee sum                     | -9.928    |
| Biggest pos size            | 8418.0    |
| Biggest pos cost            | 186.7     |
| Volume quote                | 99282.7   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.142%    |
| Final balance               | 1637.7    |
| Final equity                | 1637.67   |
| Net PNL + fees              | 137.696   |
| Total gain                  | 9.227%    |
| Average daily gain          | 0.0144%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0560566 |
| Price action distance std   | 0.0664209 |
| Price action distance max   | 0.405521  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9581    |
| Equity/balance ratio std    | 0.003159  |
| No. fills                   | 1173      |
| No. entries                 | 693       |
| No. closes                  | 480       |
| No. initial entries         | 418       |
| No. reentries               | 275       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 480       |
| Average n fills per day     | 1.89      |
| Mean hours stuck            | 19.6993   |
| Max hours stuck             | 685.4     |
| PNL sum                     | 138.4     |
| Profit sum                  | 138.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.7155   |
| Biggest pos size            | 1578.0    |
| Biggest pos cost            | 162.5     |
| Volume quote                | 7155.2    |
+-----------------------------+-----------+
