+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 761.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.387%     |
| Final balance               | 3133.53    |
| Final equity                | 3133.53    |
| Net PNL + fees              | 1633.53    |
| Total gain                  | 110.7%     |
| Average daily gain          | 0.098%     |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.00914946 |
| Price action distance std   | 0.0095274  |
| Price action distance max   | 0.344123   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9358     |
| Equity/balance ratio std    | 0.00184    |
| No. fills                   | 46868      |
| No. entries                 | 20161      |
| No. closes                  | 26707      |
| No. initial entries         | 14125      |
| No. reentries               | 6036       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 26707      |
| Average n fills per day     | 61.5       |
| Mean hours stuck            | 0.994937   |
| Max hours stuck             | 84.8333    |
| PNL sum                     | 1660.0     |
| Profit sum                  | 1660.0     |
| Loss sum                    | 0.0        |
| Fee sum                     | -26.97     |
| Biggest pos size            | 25581.0    |
| Biggest pos cost            | 777.8      |
| Volume quote                | 269651.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.185%     |
| Final balance               | 1776.54    |
| Final equity                | 1776.52    |
| Net PNL + fees              | 276.539    |
| Total gain                  | 18.71%     |
| Average daily gain          | 0.0226%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0148056  |
| Price action distance std   | 0.0156903  |
| Price action distance max   | 0.274453   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9546     |
| Equity/balance ratio std    | 0.001789   |
| No. fills                   | 10305      |
| No. entries                 | 5140       |
| No. closes                  | 5165       |
| No. initial entries         | 3293       |
| No. reentries               | 1847       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 5165       |
| Average n fills per day     | 13.5       |
| Mean hours stuck            | 2.0412     |
| Max hours stuck             | 97.15      |
| PNL sum                     | 280.6      |
| Profit sum                  | 280.6      |
| Loss sum                    | 0.0        |
| Fee sum                     | -4.089     |
| Biggest pos size            | 12260.0    |
| Biggest pos cost            | 213.3      |
| Volume quote                | 40893.1    |
+-----------------------------+------------+
