+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MANAUSDT   |
| Passivbot mode              | emas       |
| No. days                    | 660.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.404%     |
| Final balance               | 969.89     |
| Final equity                | 969.887    |
| Net PNL + fees              | 469.89     |
| Total gain                  | 95.83      |
| Average daily gain          | 0.101      |
| Net PNL + fees              | 469.89     |
| Loss to profit ratio        | 0.2205     |
| Price action distance mean  | 0.00762259 |
| Price action distance std   | 0.00992705 |
| Price action distance max   | 0.55717    |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9106     |
| Equity/balance ratio std    | 0.001706   |
| No. fills                   | 13534      |
| No. entries                 | 8857       |
| No. closes                  | 4677       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 8857       |
| No. unstuck/EMA closes      | 4470       |
| No. normal closes           | 207        |
| Average n fills per day     | 20.6       |
| Mean hours stuck            | 1.16422    |
| Max hours stuck             | 9.73333    |
| PNL sum                     | 479.1      |
| Profit sum                  | 614.7      |
| Loss sum                    | -135.6     |
| Fee sum                     | -9.255     |
| Volume quote                | 103091.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.459%     |
| Final balance               | 675.976    |
| Final equity                | 675.377    |
| Net PNL + fees              | 175.976    |
| Total gain                  | 36.5       |
| Average daily gain          | 0.0459     |
| Net PNL + fees              | 175.976    |
| Loss to profit ratio        | 0.1224     |
| Price action distance mean  | 0.0124121  |
| Price action distance std   | 0.0206165  |
| Price action distance max   | 0.259864   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9647     |
| Equity/balance ratio std    | 0.002341   |
| No. fills                   | 27354      |
| No. entries                 | 15592      |
| No. closes                  | 11762      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 15592      |
| No. unstuck/EMA closes      | 5191       |
| No. normal closes           | 6571       |
| Average n fills per day     | 41.7       |
| Mean hours stuck            | 0.576045   |
| Max hours stuck             | 53.6       |
| PNL sum                     | 182.5      |
| Profit sum                  | 208.0      |
| Loss sum                    | -25.44     |
| Fee sum                     | -6.538     |
| Volume quote                | 184632.0   |
+-----------------------------+------------+
