+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ATOMUSDT  |
| Passivbot mode              | emas      |
| No. days                    | 1100.0    |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.292%    |
| Final balance               | 1106.13   |
| Final equity                | 1106.14   |
| Net PNL + fees              | 606.133   |
| Total gain                  | 123.8     |
| Average daily gain          | 0.073     |
| Net PNL + fees              | 606.133   |
| Loss to profit ratio        | 0.2322    |
| Price action distance mean  | 0.0098298 |
| Price action distance std   | 0.0206546 |
| Price action distance max   | 1.2216    |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.8626    |
| Equity/balance ratio std    | 0.00343   |
| No. fills                   | 19696     |
| No. entries                 | 12924     |
| No. closes                  | 6772      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 12924     |
| No. unstuck/EMA closes      | 6292      |
| No. normal closes           | 480       |
| Average n fills per day     | 18.1      |
| Mean hours stuck            | 1.32493   |
| Max hours stuck             | 26.8667   |
| PNL sum                     | 619.2     |
| Profit sum                  | 806.5     |
| Loss sum                    | -187.3    |
| Fee sum                     | -13.07    |
| Volume quote                | 220691.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.267%    |
| Final balance               | 668.605   |
| Final equity                | 668.435   |
| Net PNL + fees              | 168.605   |
| Total gain                  | 34.91     |
| Average daily gain          | 0.0267    |
| Net PNL + fees              | 168.605   |
| Loss to profit ratio        | 0.05993   |
| Price action distance mean  | 0.0138509 |
| Price action distance std   | 0.0221804 |
| Price action distance max   | 0.167868  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9797    |
| Equity/balance ratio std    | 0.0017    |
| No. fills                   | 13786     |
| No. entries                 | 8251      |
| No. closes                  | 5535      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 8251      |
| No. unstuck/EMA closes      | 97        |
| No. normal closes           | 5438      |
| Average n fills per day     | 12.7      |
| Mean hours stuck            | 1.893     |
| Max hours stuck             | 82.9333   |
| PNL sum                     | 174.6     |
| Profit sum                  | 185.7     |
| Loss sum                    | -11.13    |
| Fee sum                     | -5.962    |
| Volume quote                | 67704.0   |
+-----------------------------+-----------+
