+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XMRUSDT    |
| Passivbot mode              | emas       |
| No. days                    | 1100.0     |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.199%     |
| Final balance               | 861.709    |
| Final equity                | 861.705    |
| Net PNL + fees              | 361.709    |
| Total gain                  | 73.97      |
| Average daily gain          | 0.0499     |
| Net PNL + fees              | 361.709    |
| Loss to profit ratio        | 0.2115     |
| Price action distance mean  | 0.0118017  |
| Price action distance std   | 0.0167195  |
| Price action distance max   | 0.696099   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.8972     |
| Equity/balance ratio std    | 0.003414   |
| No. fills                   | 10794      |
| No. entries                 | 7250       |
| No. closes                  | 3544       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7250       |
| No. unstuck/EMA closes      | 1054       |
| No. normal closes           | 2490       |
| Average n fills per day     | 9.89       |
| Mean hours stuck            | 2.42716    |
| Max hours stuck             | 82.2667    |
| PNL sum                     | 369.9      |
| Profit sum                  | 469.1      |
| Loss sum                    | -99.22     |
| Fee sum                     | -8.154     |
| Volume quote                | 175524.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.17%      |
| Final balance               | 602.253    |
| Final equity                | 601.006    |
| Net PNL + fees              | 102.253    |
| Total gain                  | 21.15      |
| Average daily gain          | 0.017      |
| Net PNL + fees              | 102.253    |
| Loss to profit ratio        | 0.1866     |
| Price action distance mean  | 0.00975971 |
| Price action distance std   | 0.0132205  |
| Price action distance max   | 0.131028   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.985      |
| Equity/balance ratio std    | 0.0009883  |
| No. fills                   | 7288       |
| No. entries                 | 4022       |
| No. closes                  | 3266       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 4022       |
| No. unstuck/EMA closes      | 24         |
| No. normal closes           | 3242       |
| Average n fills per day     | 6.68       |
| Mean hours stuck            | 3.59155    |
| Max hours stuck             | 89.1667    |
| PNL sum                     | 105.8      |
| Profit sum                  | 130.0      |
| Loss sum                    | -24.26     |
| Fee sum                     | -3.509     |
| Volume quote                | 41824.9    |
+-----------------------------+------------+
