+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ATOMUSDT  |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.251%    |
| Final balance               | 991.605   |
| Final equity                | 991.598   |
| Net PNL + fees              | 491.605   |
| Total gain                  | 99.84%    |
| Average daily gain          | 0.0629%   |
| Net PNL + fees              | 491.605   |
| Loss to profit ratio        | 0.2335    |
| Price action distance mean  | 0.0119795 |
| Price action distance std   | 0.0246173 |
| Price action distance max   | 1.12664   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8676    |
| Equity/balance ratio std    | 0.004509  |
| No. fills                   | 21259     |
| No. entries                 | 16087     |
| No. closes                  | 5172      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 16087     |
| No. unstuck/EMA closes      | 4998      |
| No. normal closes           | 174       |
| Average n fills per day     | 19.5      |
| Mean hours stuck            | 1.2299    |
| Max hours stuck             | 53.45     |
| PNL sum                     | 499.2     |
| Profit sum                  | 651.3     |
| Loss sum                    | -152.0    |
| Fee sum                     | -7.619    |
| Volume quote                | 316231.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.292%    |
| Final balance               | 687.062   |
| Final equity                | 687.067   |
| Net PNL + fees              | 187.062   |
| Total gain                  | 38.61%    |
| Average daily gain          | 0.0292%   |
| Net PNL + fees              | 187.062   |
| Loss to profit ratio        | 0.235     |
| Price action distance mean  | 0.0134742 |
| Price action distance std   | 0.0227212 |
| Price action distance max   | 0.223727  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9709    |
| Equity/balance ratio std    | 0.001806  |
| No. fills                   | 15655     |
| No. entries                 | 7614      |
| No. closes                  | 8041      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 7614      |
| No. unstuck/EMA closes      | 6569      |
| No. normal closes           | 1472      |
| Average n fills per day     | 14.4      |
| Mean hours stuck            | 1.67028   |
| Max hours stuck             | 84.1167   |
| PNL sum                     | 193.0     |
| Profit sum                  | 252.3     |
| Loss sum                    | -59.3     |
| Fee sum                     | -5.965    |
| Volume quote                | 127392.0  |
+-----------------------------+-----------+
