+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 940.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.819%     |
| Final balance               | 3387.28    |
| Final equity                | 3387.36    |
| Net PNL + fees              | 2887.28    |
| Total gain                  | 586.8%     |
| Average daily gain          | 0.205%     |
| Net PNL + fees              | 2887.28    |
| Loss to profit ratio        | 0.198      |
| Price action distance mean  | 0.00694429 |
| Price action distance std   | 0.0126906  |
| Price action distance max   | 0.412971   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9269     |
| Equity/balance ratio std    | 0.002493   |
| No. fills                   | 22939      |
| No. entries                 | 13152      |
| No. closes                  | 9787       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 13152      |
| No. unstuck/EMA closes      | 8820       |
| No. normal closes           | 967        |
| Average n fills per day     | 24.5       |
| Mean hours stuck            | 0.978884   |
| Max hours stuck             | 14.8167    |
| PNL sum                     | 2934.0     |
| Profit sum                  | 3658.0     |
| Loss sum                    | -724.4     |
| Fee sum                     | -46.79     |
| Volume quote                | 587806.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.169%     |
| Final balance               | 585.426    |
| Final equity                | 585.41     |
| Net PNL + fees              | 85.4258    |
| Total gain                  | 18.1%      |
| Average daily gain          | 0.0169%    |
| Net PNL + fees              | 85.4258    |
| Loss to profit ratio        | 0.1235     |
| Price action distance mean  | 0.00636298 |
| Price action distance std   | 0.00861381 |
| Price action distance max   | 0.405509   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9318     |
| Equity/balance ratio std    | 0.0006719  |
| No. fills                   | 30246      |
| No. entries                 | 16455      |
| No. closes                  | 13791      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 16455      |
| No. unstuck/EMA closes      | 3218       |
| No. normal closes           | 10573      |
| Average n fills per day     | 32.3       |
| Mean hours stuck            | 0.742388   |
| Max hours stuck             | 48.0       |
| PNL sum                     | 90.51      |
| Profit sum                  | 103.3      |
| Loss sum                    | -12.75     |
| Fee sum                     | -5.083     |
| Volume quote                | 37255.2    |
+-----------------------------+------------+
