+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | KSMUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 840.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0176%  |
| Final balance               | 481.882   |
| Final equity                | 481.912   |
| Net PNL + fees              | -18.1177  |
| Total gain                  | -3.207%   |
| Average daily gain          | -0.0044%  |
| Net PNL + fees              | -18.1177  |
| Loss to profit ratio        | 1.066     |
| Price action distance mean  | 0.038767  |
| Price action distance std   | 0.0738314 |
| Price action distance max   | 0.924144  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8796    |
| Equity/balance ratio std    | 0.01238   |
| No. fills                   | 3035      |
| No. entries                 | 1624      |
| No. closes                  | 1411      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 1624      |
| No. unstuck/EMA closes      | 972       |
| No. normal closes           | 439       |
| Average n fills per day     | 3.61      |
| Mean hours stuck            | 6.64146   |
| Max hours stuck             | 42.4667   |
| PNL sum                     | -16.03    |
| Profit sum                  | 244.2     |
| Loss sum                    | -260.2    |
| Fee sum                     | -2.084    |
| Volume quote                | 71676.5   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0916%   |
| Final balance               | 539.978   |
| Final equity                | 530.296   |
| Net PNL + fees              | 39.9777   |
| Total gain                  | 8.207%    |
| Average daily gain          | 0.00916%  |
| Net PNL + fees              | 39.9777   |
| Loss to profit ratio        | 0.4854    |
| Price action distance mean  | 0.0425349 |
| Price action distance std   | 0.0559318 |
| Price action distance max   | 0.330863  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9526    |
| Equity/balance ratio std    | 0.00573   |
| No. fills                   | 2364      |
| No. entries                 | 1194      |
| No. closes                  | 1170      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 1194      |
| No. unstuck/EMA closes      | 270       |
| No. normal closes           | 900       |
| Average n fills per day     | 2.82      |
| Mean hours stuck            | 8.52168   |
| Max hours stuck             | 123.333   |
| PNL sum                     | 41.04     |
| Profit sum                  | 79.74     |
| Loss sum                    | -38.7     |
| Fee sum                     | -1.058    |
| Volume quote                | 17504.3   |
+-----------------------------+-----------+
