+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| Passivbot mode              | clock      |
| No. days                    | 830.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.617%     |
| Final balance               | 1801.71    |
| Final equity                | 1801.71    |
| Net PNL + fees              | 1301.71    |
| Total gain                  | 265.3%     |
| Average daily gain          | 0.154%     |
| Net PNL + fees              | 1301.71    |
| Loss to profit ratio        | 0.2408     |
| Price action distance mean  | 0.0110825  |
| Price action distance std   | 0.0276465  |
| Price action distance max   | 0.697184   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8972     |
| Equity/balance ratio std    | 0.00562    |
| No. fills                   | 26083      |
| No. entries                 | 15810      |
| No. closes                  | 10273      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 15810      |
| No. unstuck/EMA closes      | 8300       |
| No. normal closes           | 1973       |
| Average n fills per day     | 31.4       |
| Mean hours stuck            | 0.765215   |
| Max hours stuck             | 31.65      |
| PNL sum                     | 1326.0     |
| Profit sum                  | 1747.0     |
| Loss sum                    | -420.8     |
| Fee sum                     | -24.62     |
| Volume quote                | 681087.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.157%     |
| Final balance               | 569.823    |
| Final equity                | 569.823    |
| Net PNL + fees              | 69.8234    |
| Total gain                  | 14.49%     |
| Average daily gain          | 0.0157%    |
| Net PNL + fees              | 69.8234    |
| Loss to profit ratio        | 0.2497     |
| Price action distance mean  | 0.00895452 |
| Price action distance std   | 0.00866756 |
| Price action distance max   | 0.100731   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9888     |
| Equity/balance ratio std    | 0.0001625  |
| No. fills                   | 11860      |
| No. entries                 | 6647       |
| No. closes                  | 5213       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6647       |
| No. unstuck/EMA closes      | 5181       |
| No. normal closes           | 32         |
| Average n fills per day     | 14.3       |
| Mean hours stuck            | 1.68272    |
| Max hours stuck             | 109.933    |
| PNL sum                     | 72.44      |
| Profit sum                  | 96.55      |
| Loss sum                    | -24.1      |
| Fee sum                     | -2.619     |
| Volume quote                | 19425.3    |
+-----------------------------+------------+
