+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XMRUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.219%    |
| Final balance               | 910.258   |
| Final equity                | 910.298   |
| Net PNL + fees              | 410.258   |
| Total gain                  | 83.8%     |
| Average daily gain          | 0.0548%   |
| Net PNL + fees              | 410.258   |
| Loss to profit ratio        | 0.09826   |
| Price action distance mean  | 0.010855  |
| Price action distance std   | 0.0113273 |
| Price action distance max   | 0.182527  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9375    |
| Equity/balance ratio std    | 0.001974  |
| No. fills                   | 14562     |
| No. entries                 | 9298      |
| No. closes                  | 5264      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 9298      |
| No. unstuck/EMA closes      | 2223      |
| No. normal closes           | 3041      |
| Average n fills per day     | 13.3      |
| Mean hours stuck            | 1.80243   |
| Max hours stuck             | 75.7833   |
| PNL sum                     | 419.0     |
| Profit sum                  | 464.6     |
| Loss sum                    | -45.65    |
| Fee sum                     | -8.719    |
| Volume quote                | 183069.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.215%    |
| Final balance               | 632.766   |
| Final equity                | 632.773   |
| Net PNL + fees              | 132.766   |
| Total gain                  | 27.13%    |
| Average daily gain          | 0.0215%   |
| Net PNL + fees              | 132.766   |
| Loss to profit ratio        | 0.1856    |
| Price action distance mean  | 0.0174726 |
| Price action distance std   | 0.0259562 |
| Price action distance max   | 0.181324  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9773    |
| Equity/balance ratio std    | 0.002419  |
| No. fills                   | 8311      |
| No. entries                 | 4222      |
| No. closes                  | 4089      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4222      |
| No. unstuck/EMA closes      | 3558      |
| No. normal closes           | 531       |
| Average n fills per day     | 7.6       |
| Mean hours stuck            | 3.15843   |
| Max hours stuck             | 71.2667   |
| PNL sum                     | 135.7     |
| Profit sum                  | 166.6     |
| Loss sum                    | -30.91    |
| Fee sum                     | -2.887    |
| Volume quote                | 112184.0  |
+-----------------------------+-----------+
