+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 940.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.791%     |
| Final balance               | 6344.57    |
| Final equity                | 6344.6     |
| Net PNL + fees              | 5344.57    |
| Total gain                  | 543.9%     |
| Average daily gain          | 0.198%     |
| Net PNL + fees              | 5344.57    |
| Loss to profit ratio        | 0.2005     |
| Price action distance mean  | 0.006951   |
| Price action distance std   | 0.00920444 |
| Price action distance max   | 0.42189    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9258     |
| Equity/balance ratio std    | 0.001765   |
| No. fills                   | 24205      |
| No. entries                 | 12296      |
| No. closes                  | 11909      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 12296      |
| No. unstuck/EMA closes      | 10839      |
| No. normal closes           | 1070       |
| Average n fills per day     | 25.9       |
| Mean hours stuck            | 0.927733   |
| Max hours stuck             | 9.25       |
| PNL sum                     | 5439.0     |
| Profit sum                  | 6803.0     |
| Loss sum                    | -1364.0    |
| Fee sum                     | -94.7      |
| Volume quote                | 1556900.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.199%     |
| Final balance               | 1204.88    |
| Final equity                | 1204.87    |
| Net PNL + fees              | 204.885    |
| Total gain                  | 20.89%     |
| Average daily gain          | 0.0199%    |
| Net PNL + fees              | 204.885    |
| Loss to profit ratio        | 0.1317     |
| Price action distance mean  | 0.0066078  |
| Price action distance std   | 0.00812824 |
| Price action distance max   | 0.160259   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9809     |
| Equity/balance ratio std    | 0.0002819  |
| No. fills                   | 15145      |
| No. entries                 | 7833       |
| No. closes                  | 7312       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7833       |
| No. unstuck/EMA closes      | 6720       |
| No. normal closes           | 592        |
| Average n fills per day     | 16.2       |
| Mean hours stuck            | 1.48264    |
| Max hours stuck             | 32.95      |
| PNL sum                     | 208.9      |
| Profit sum                  | 240.6      |
| Loss sum                    | -31.68     |
| Fee sum                     | -4.018     |
| Volume quote                | 51526.1    |
+-----------------------------+------------+
