+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOTUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 890.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.35%      |
| Final balance               | 2181.64    |
| Final equity                | 2181.6     |
| Net PNL + fees              | 1181.64    |
| Total gain                  | 121.0%     |
| Average daily gain          | 0.0874%    |
| Net PNL + fees              | 1181.64    |
| Loss to profit ratio        | 0.2177     |
| Price action distance mean  | 0.00673821 |
| Price action distance std   | 0.010167   |
| Price action distance max   | 0.331379   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9377     |
| Equity/balance ratio std    | 0.001679   |
| No. fills                   | 16841      |
| No. entries                 | 8252       |
| No. closes                  | 8589       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 8252       |
| No. unstuck/EMA closes      | 8486       |
| No. normal closes           | 103        |
| Average n fills per day     | 18.9       |
| Mean hours stuck            | 1.2721     |
| Max hours stuck             | 32.35      |
| PNL sum                     | 1210.0     |
| Profit sum                  | 1547.0     |
| Loss sum                    | -336.7     |
| Fee sum                     | -28.22     |
| Volume quote                | 360798.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.101%     |
| Final balance               | 1094.52    |
| Final equity                | 1094.52    |
| Net PNL + fees              | 94.524     |
| Total gain                  | 9.787%     |
| Average daily gain          | 0.0101%    |
| Net PNL + fees              | 94.524     |
| Loss to profit ratio        | 0.2063     |
| Price action distance mean  | 0.00918485 |
| Price action distance std   | 0.00802846 |
| Price action distance max   | 0.11709    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9867     |
| Equity/balance ratio std    | 0.0002432  |
| No. fills                   | 10274      |
| No. entries                 | 5315       |
| No. closes                  | 4959       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 5315       |
| No. unstuck/EMA closes      | 4940       |
| No. normal closes           | 19         |
| Average n fills per day     | 11.5       |
| Mean hours stuck            | 2.08486    |
| Max hours stuck             | 147.333    |
| PNL sum                     | 97.87      |
| Profit sum                  | 123.3      |
| Loss sum                    | -25.44     |
| Fee sum                     | -3.351     |
| Volume quote                | 47584.4    |
+-----------------------------+------------+
