+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | GALUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 270.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.739%     |
| Final balance               | 1650.64    |
| Final equity                | 1650.64    |
| Net PNL + fees              | 650.639    |
| Total gain                  | 66.42%     |
| Average daily gain          | 0.185%     |
| Net PNL + fees              | 650.639    |
| Loss to profit ratio        | 0.1912     |
| Price action distance mean  | 0.00729943 |
| Price action distance std   | 0.0104637  |
| Price action distance max   | 0.510192   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9155     |
| Equity/balance ratio std    | 0.001786   |
| No. fills                   | 6703       |
| No. entries                 | 4495       |
| No. closes                  | 2208       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 4495       |
| No. unstuck/EMA closes      | 1897       |
| No. normal closes           | 311        |
| Average n fills per day     | 24.7       |
| Mean hours stuck            | 0.971772   |
| Max hours stuck             | 6.1        |
| PNL sum                     | 664.2      |
| Profit sum                  | 821.3      |
| Loss sum                    | -157.1     |
| Fee sum                     | -13.61     |
| Volume quote                | 141908.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 1.2%       |
| Final balance               | 1386.37    |
| Final equity                | 1386.29    |
| Net PNL + fees              | 386.375    |
| Total gain                  | 39.05%     |
| Average daily gain          | 0.12%      |
| Net PNL + fees              | 386.375    |
| Loss to profit ratio        | 0.1146     |
| Price action distance mean  | 0.0130215  |
| Price action distance std   | 0.0188769  |
| Price action distance max   | 0.192908   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9761     |
| Equity/balance ratio std    | 0.002193   |
| No. fills                   | 9174       |
| No. entries                 | 3395       |
| No. closes                  | 5779       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 3395       |
| No. unstuck/EMA closes      | 5360       |
| No. normal closes           | 419        |
| Average n fills per day     | 33.8       |
| Mean hours stuck            | 0.70996    |
| Max hours stuck             | 14.7333    |
| PNL sum                     | 390.5      |
| Profit sum                  | 441.1      |
| Loss sum                    | -50.54     |
| Fee sum                     | -4.166     |
| Volume quote                | 173748.0   |
+-----------------------------+------------+
