+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | DYDXUSDT       |
| Passivbot mode              | recursive_grid |
| No. days                    | 540.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.194%         |
| Final balance               | 1366.05        |
| Final equity                | 1365.86        |
| Net PNL + fees              | 366.051        |
| Total gain                  | 37.53%         |
| Average daily gain          | 0.0581%        |
| Net PNL + fees              | 366.051        |
| Loss to profit ratio        | 0.1334         |
| Price action distance mean  | 0.0122631      |
| Price action distance std   | 0.0158796      |
| Price action distance max   | 0.332707       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9249         |
| Equity/balance ratio std    | 0.003165       |
| No. fills                   | 7859           |
| No. entries                 | 4421           |
| No. closes                  | 3438           |
| No. initial entries         | 2827           |
| No. reentries               | 1464           |
| No. unstuck/EMA entries     | 130            |
| No. unstuck/EMA closes      | 200            |
| No. normal closes           | 3238           |
| Average n fills per day     | 14.6           |
| Mean hours stuck            | 1.63759        |
| Max hours stuck             | 66.3667        |
| PNL sum                     | 375.3          |
| Profit sum                  | 433.1          |
| Loss sum                    | -57.76         |
| Fee sum                     | -9.249         |
| Volume quote                | 236453.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.291%         |
| Final balance               | 1169.32        |
| Final equity                | 1169.32        |
| Net PNL + fees              | 169.317        |
| Total gain                  | 17.16%         |
| Average daily gain          | 0.0291%        |
| Net PNL + fees              | 169.317        |
| Loss to profit ratio        | 0.005748       |
| Price action distance mean  | 0.016364       |
| Price action distance std   | 0.0232763      |
| Price action distance max   | 0.216965       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9722         |
| Equity/balance ratio std    | 0.001742       |
| No. fills                   | 3774           |
| No. entries                 | 2104           |
| No. closes                  | 1670           |
| No. initial entries         | 1309           |
| No. reentries               | 776            |
| No. unstuck/EMA entries     | 19             |
| No. unstuck/EMA closes      | 17             |
| No. normal closes           | 1653           |
| Average n fills per day     | 7.03           |
| Mean hours stuck            | 3.40794        |
| Max hours stuck             | 88.6167        |
| PNL sum                     | 171.6          |
| Profit sum                  | 172.6          |
| Loss sum                    | -0.9922        |
| Fee sum                     | -2.295         |
| Volume quote                | 33024.9        |
+-----------------------------+----------------+
