+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | EOSUSDT        |
| Passivbot mode              | recursive_grid |
| No. days                    | 1100.0         |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.176%         |
| Final balance               | 1829.84        |
| Final equity                | 1829.77        |
| Net PNL + fees              | 829.838        |
| Total gain                  | 84.21%         |
| Average daily gain          | 0.0527%        |
| Net PNL + fees              | 829.838        |
| Loss to profit ratio        | 0.001881       |
| Price action distance mean  | 0.012342       |
| Price action distance std   | 0.0221446      |
| Price action distance max   | 0.53945        |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.8946         |
| Equity/balance ratio std    | 0.004046       |
| No. fills                   | 6717           |
| No. entries                 | 4044           |
| No. closes                  | 2673           |
| No. initial entries         | 2453           |
| No. reentries               | 1564           |
| No. unstuck/EMA entries     | 27             |
| No. unstuck/EMA closes      | 15             |
| No. normal closes           | 2658           |
| Average n fills per day     | 5.85           |
| Mean hours stuck            | 4.09911        |
| Max hours stuck             | 83.65          |
| PNL sum                     | 842.1          |
| Profit sum                  | 843.7          |
| Loss sum                    | -1.587         |
| Fee sum                     | -12.28         |
| Volume quote                | 152901.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.185%         |
| Final balance               | 1236.42        |
| Final equity                | 1236.42        |
| Net PNL + fees              | 236.419        |
| Total gain                  | 24.13%         |
| Average daily gain          | 0.0185%        |
| Net PNL + fees              | 236.419        |
| Loss to profit ratio        | 0.01923        |
| Price action distance mean  | 0.0107583      |
| Price action distance std   | 0.0193682      |
| Price action distance max   | 0.31617        |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9537         |
| Equity/balance ratio std    | 0.001724       |
| No. fills                   | 9702           |
| No. entries                 | 4923           |
| No. closes                  | 4779           |
| No. initial entries         | 2528           |
| No. reentries               | 2288           |
| No. unstuck/EMA entries     | 107            |
| No. unstuck/EMA closes      | 102            |
| No. normal closes           | 4677           |
| Average n fills per day     | 8.45           |
| Mean hours stuck            | 2.83511        |
| Max hours stuck             | 77.2333        |
| PNL sum                     | 241.3          |
| Profit sum                  | 246.0          |
| Loss sum                    | -4.732         |
| Fee sum                     | -4.878         |
| Volume quote                | 152954.0       |
+-----------------------------+----------------+
