+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | HBARUSDT       |
| Passivbot mode              | recursive_grid |
| No. days                    | 710.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.543%         |
| Final balance               | 3193.89        |
| Final equity                | 3193.45        |
| Net PNL + fees              | 2193.89        |
| Total gain                  | 226.3%         |
| Average daily gain          | 0.163%         |
| Net PNL + fees              | 2193.89        |
| Loss to profit ratio        | 0.1979         |
| Price action distance mean  | 0.0100271      |
| Price action distance std   | 0.0209425      |
| Price action distance max   | 0.97383        |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.8516         |
| Equity/balance ratio std    | 0.004244       |
| No. fills                   | 13950          |
| No. entries                 | 7884           |
| No. closes                  | 6066           |
| No. initial entries         | 3457           |
| No. reentries               | 3164           |
| No. unstuck/EMA entries     | 1263           |
| No. unstuck/EMA closes      | 2196           |
| No. normal closes           | 3870           |
| Average n fills per day     | 19.5           |
| Mean hours stuck            | 1.22599        |
| Max hours stuck             | 50.9833        |
| PNL sum                     | 2263.0         |
| Profit sum                  | 2821.0         |
| Loss sum                    | -558.4         |
| Fee sum                     | -68.94         |
| Volume quote                | 2729130.0      |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.355%         |
| Final balance               | 1288.37        |
| Final equity                | 1288.37        |
| Net PNL + fees              | 288.37         |
| Total gain                  | 30.18%         |
| Average daily gain          | 0.0355%        |
| Net PNL + fees              | 288.37         |
| Loss to profit ratio        | 0.02332        |
| Price action distance mean  | 0.0145047      |
| Price action distance std   | 0.0277065      |
| Price action distance max   | 0.286478       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9598         |
| Equity/balance ratio std    | 0.002109       |
| No. fills                   | 14211          |
| No. entries                 | 7783           |
| No. closes                  | 6428           |
| No. initial entries         | 5849           |
| No. reentries               | 1837           |
| No. unstuck/EMA entries     | 97             |
| No. unstuck/EMA closes      | 54             |
| No. normal closes           | 6374           |
| Average n fills per day     | 19.9           |
| Mean hours stuck            | 1.20171        |
| Max hours stuck             | 93.0833        |
| PNL sum                     | 301.8          |
| Profit sum                  | 309.0          |
| Loss sum                    | -7.207         |
| Fee sum                     | -13.42         |
| Volume quote                | 125897.0       |
+-----------------------------+----------------+
