+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | KSMUSDT        |
| Passivbot mode              | recursive_grid |
| No. days                    | 870.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.223%         |
| Final balance               | 1785.2         |
| Final equity                | 1783.74        |
| Net PNL + fees              | 785.197        |
| Total gain                  | 80.0%          |
| Average daily gain          | 0.0668%        |
| Net PNL + fees              | 785.197        |
| Loss to profit ratio        | 0.0154         |
| Price action distance mean  | 0.0128206      |
| Price action distance std   | 0.0153035      |
| Price action distance max   | 0.915662       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.8551         |
| Equity/balance ratio std    | 0.002777       |
| No. fills                   | 8420           |
| No. entries                 | 4310           |
| No. closes                  | 4110           |
| No. initial entries         | 3059           |
| No. reentries               | 1193           |
| No. unstuck/EMA entries     | 58             |
| No. unstuck/EMA closes      | 98             |
| No. normal closes           | 4012           |
| Average n fills per day     | 9.7            |
| Mean hours stuck            | 2.47126        |
| Max hours stuck             | 81.8           |
| PNL sum                     | 800.0          |
| Profit sum                  | 812.5          |
| Loss sum                    | -12.51         |
| Fee sum                     | -14.82         |
| Volume quote                | 323149.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.235%         |
| Final balance               | 1226.23        |
| Final equity                | 1226.23        |
| Net PNL + fees              | 226.229        |
| Total gain                  | 23.48%         |
| Average daily gain          | 0.0235%        |
| Net PNL + fees              | 226.229        |
| Loss to profit ratio        | 0.01777        |
| Price action distance mean  | 0.0136082      |
| Price action distance std   | 0.0203018      |
| Price action distance max   | 0.184337       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9772         |
| Equity/balance ratio std    | 0.001457       |
| No. fills                   | 14946          |
| No. entries                 | 7420           |
| No. closes                  | 7526           |
| No. initial entries         | 5671           |
| No. reentries               | 1690           |
| No. unstuck/EMA entries     | 59             |
| No. unstuck/EMA closes      | 35             |
| No. normal closes           | 7491           |
| Average n fills per day     | 17.2           |
| Mean hours stuck            | 1.39082        |
| Max hours stuck             | 94.1167        |
| PNL sum                     | 234.8          |
| Profit sum                  | 239.0          |
| Loss sum                    | -4.246         |
| Fee sum                     | -8.525         |
| Volume quote                | 144423.0       |
+-----------------------------+----------------+
