+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | VETUSDT        |
| Passivbot mode              | recursive_grid |
| No. days                    | 1100.0         |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.241%         |
| Final balance               | 2229.78        |
| Final equity                | 2229.41        |
| Net PNL + fees              | 1229.78        |
| Total gain                  | 125.1%         |
| Average daily gain          | 0.0722%        |
| Net PNL + fees              | 1229.78        |
| Loss to profit ratio        | 0.04802        |
| Price action distance mean  | 0.0098901      |
| Price action distance std   | 0.0108892      |
| Price action distance max   | 0.371222       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9186         |
| Equity/balance ratio std    | 0.001658       |
| No. fills                   | 14227          |
| No. entries                 | 8047           |
| No. closes                  | 6180           |
| No. initial entries         | 5671           |
| No. reentries               | 2311           |
| No. unstuck/EMA entries     | 65             |
| No. unstuck/EMA closes      | 164            |
| No. normal closes           | 6016           |
| Average n fills per day     | 12.8           |
| Mean hours stuck            | 1.87232        |
| Max hours stuck             | 71.2833        |
| PNL sum                     | 1251.0         |
| Profit sum                  | 1314.0         |
| Loss sum                    | -63.11         |
| Fee sum                     | -21.38         |
| Volume quote                | 335120.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.242%         |
| Final balance               | 1308.83        |
| Final equity                | 1308.83        |
| Net PNL + fees              | 308.832        |
| Total gain                  | 32.04%         |
| Average daily gain          | 0.0242%        |
| Net PNL + fees              | 308.832        |
| Loss to profit ratio        | 0.01603        |
| Price action distance mean  | 0.0122028      |
| Price action distance std   | 0.0200679      |
| Price action distance max   | 0.327341       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9509         |
| Equity/balance ratio std    | 0.001606       |
| No. fills                   | 17890          |
| No. entries                 | 10084          |
| No. closes                  | 7806           |
| No. initial entries         | 7356           |
| No. reentries               | 2464           |
| No. unstuck/EMA entries     | 264            |
| No. unstuck/EMA closes      | 98             |
| No. normal closes           | 7708           |
| Average n fills per day     | 16.1           |
| Mean hours stuck            | 1.48781        |
| Max hours stuck             | 95.8           |
| PNL sum                     | 320.4          |
| Profit sum                  | 325.6          |
| Loss sum                    | -5.219         |
| Fee sum                     | -11.53         |
| Volume quote                | 136390.0       |
+-----------------------------+----------------+
