+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 710.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.251%     |
| Final balance               | 1793.17    |
| Final equity                | 1793.12    |
| Net PNL + fees              | 293.166    |
| Total gain                  | 20.2%      |
| Average daily gain          | 0.0252%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0118862  |
| Price action distance std   | 0.00998923 |
| Price action distance max   | 0.223566   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9817     |
| Equity/balance ratio std    | 0.0004095  |
| No. fills                   | 16911      |
| No. entries                 | 8821       |
| No. closes                  | 8090       |
| No. initial entries         | 6873       |
| No. reentries               | 1948       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 8090       |
| Average n fills per day     | 23.8       |
| Mean hours stuck            | 1.67488    |
| Max hours stuck             | 83.4667    |
| PNL sum                     | 303.0      |
| Profit sum                  | 303.0      |
| Loss sum                    | 0.0        |
| Fee sum                     | -9.797     |
| Biggest pos size            | 9935.0     |
| Biggest pos cost            | 178.4      |
| Volume quote                | 97969.4    |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.191%     |
| Final balance               | 1717.95    |
| Final equity                | 1717.89    |
| Net PNL + fees              | 217.952    |
| Total gain                  | 14.69%     |
| Average daily gain          | 0.0194%    |
| Loss to profit ratio        | 0.01665    |
| Price action distance mean  | 0.0330366  |
| Price action distance std   | 0.0386559  |
| Price action distance max   | 0.316606   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9536     |
| Equity/balance ratio std    | 0.003146   |
| No. fills                   | 2914       |
| No. entries                 | 1501       |
| No. closes                  | 1413       |
| No. initial entries         | 901        |
| No. reentries               | 576        |
| No. unstuck entries         | 24         |
| No. unstuck closes          | 143        |
| No. normal closes           | 1270       |
| Average n fills per day     | 4.1        |
| Mean hours stuck            | 7.9261     |
| Max hours stuck             | 171.233    |
| PNL sum                     | 220.3      |
| Profit sum                  | 224.0      |
| Loss sum                    | -3.731     |
| Fee sum                     | -2.327     |
| Biggest pos size            | 5501.0     |
| Biggest pos cost            | 171.8      |
| Volume quote                | 23274.6    |
+-----------------------------+------------+
